profile	kind	field	present	absent	numeric	minimum	maximum	modal-value	modal-count	distinct	shapes
vanilla	unit	air_resistance	35	122	35	-50	100	25	9	9	number:35
vanilla	unit	alpha_impfile_proc	4	153	0	-	-	-	0	0	procedure:4
vanilla	unit	armor	156	1	156	0	20	2	24	15	number:156
vanilla	unit	attack	157	0	157	0	25	8	18	20	number:157
vanilla	unit	attack_recovery_ticks	150	7	150	4	40	12	23	23	number:150
vanilla	unit	barracks_required	44	113	44	1	4	1	32	2	number:44
vanilla	unit	carrying_capacity	9	148	9	4	4	4	9	1	number:9
vanilla	unit	casting_aura_type	18	139	0	-	-	-	0	0	name:18
vanilla	unit	chaos_resistance	35	122	35	-50	100	25	11	8	number:35
vanilla	unit	code	151	6	0	-	-	-	0	0	number:8 name:143
vanilla	unit	death_alpha_impfile_proc	1	156	0	-	-	-	0	0	procedure:1
vanilla	unit	death_impfile_proc	2	155	0	-	-	-	0	0	procedure:2
vanilla	unit	death_resistance	34	123	34	-50	100	0	12	8	number:34
vanilla	unit	dexterity	154	3	154	0	32	8	36	20	number:154
vanilla	unit	earth_resistance	35	122	35	-50	100	25	12	7	number:35
vanilla	unit	faith	154	3	0	-	-	-	0	0	name:154
vanilla	unit	fire_resistance	37	120	37	-50	100	25	9	11	number:37
vanilla	unit	flags	157	0	0	-	-	-	0	0	name:10 expression:147
vanilla	unit	food_to_build	98	59	98	0	264	0	20	41	number:98
vanilla	unit	food_used_per_turn	116	41	116	0	5	0	71	5	number:116
vanilla	unit	frames_per_grid	148	9	148	3	10	6	45	8	number:148
vanilla	unit	get_hit_recovery_ticks	150	7	150	0	16	2	26	12	number:150
vanilla	unit	gold_to_build	98	59	98	0	300	0	35	36	number:98
vanilla	unit	gold_used_per_turn	116	41	116	0	6	0	77	3	number:116
vanilla	unit	health_bar_x	147	10	147	-19	-13	-16	135	6	number:147
vanilla	unit	health_bar_y	147	10	147	-200	-25	-75	14	41	number:147
vanilla	unit	hit_points	157	0	157	2	250	12	17	40	number:157
vanilla	unit	impfile_proc	157	0	0	-	-	-	0	0	procedure:157
vanilla	unit	initiates_to_build	99	58	99	0	3	1	61	3	number:99
vanilla	unit	keep_required	3	154	3	1	1	1	3	1	number:3
vanilla	unit	level_procedure	148	9	0	-	-	-	0	0	procedure:148
vanilla	unit	library_required	1	156	1	1	1	1	1	1	number:1
vanilla	unit	life_resistance	35	122	35	-50	100	0	12	11	number:35
vanilla	unit	magic_crystals_to_build	98	59	98	0	300	0	25	43	number:98
vanilla	unit	magic_crystals_used_per_turn	116	41	116	0	8	0	68	8	number:116
vanilla	unit	man_turns	18	139	18	20	50	20	10	4	number:18
vanilla	unit	marketplace_required	2	155	2	1	1	1	2	1	number:2
vanilla	unit	maximum_mana	19	138	19	3	7	5	10	3	number:19
vanilla	unit	melee_attack_resistance	28	129	28	0	80	33	12	8	number:28
vanilla	unit	military_units	53	104	53	1	3	3	35	3	number:53
vanilla	unit	missile_attack_resistance	32	125	32	0	80	25	10	8	number:32
vanilla	unit	missile_range	51	106	51	4	18	10	12	12	number:51
vanilla	unit	missile_speed	51	106	51	0.75	1.5	1	32	3	number:51
vanilla	unit	missile_type	50	107	0	-	-	-	0	0	name:50
vanilla	unit	morale_bar_x	146	11	146	-15	-10	-12	139	5	number:146
vanilla	unit	morale_bar_y	146	11	146	-200	-25	-75	14	41	number:146
vanilla	unit	mount_type	26	131	0	-	-	-	0	0	name:26
vanilla	unit	mps	157	0	157	1	40	8	29	16	number:157
vanilla	unit	name	157	0	0	-	-	-	0	0	text:150 expression:7
vanilla	unit	order_resistance	35	122	35	-50	100	0	14	11	number:35
vanilla	unit	portrait_doodad	5	152	0	-	-	-	0	0	expression:5
vanilla	unit	production_doodad	5	152	0	-	-	-	0	0	expression:5
vanilla	unit	race	153	4	0	-	-	-	0	0	name:153
vanilla	unit	ranged_attack	51	106	51	3	21	6	9	14	number:51
vanilla	unit	recover_hitpoints	126	31	126	0	81	3	32	11	number:126
vanilla	unit	recover_hitpoints_inside	126	31	126	0	10	3	34	9	number:126
vanilla	unit	recover_hitpoints_moved	126	31	126	0	81	1	57	8	number:126
vanilla	unit	shadow_impfile_proc	3	154	0	-	-	-	0	0	procedure:3
vanilla	unit	shipyard_required	1	156	1	1	1	1	1	1	number:1
vanilla	unit	sight_radius	156	1	156	1	7	3	40	7	number:156
vanilla	unit	small_doodad	6	151	0	-	-	-	0	0	expression:6
vanilla	unit	special_unit_type	59	98	0	-	-	-	0	0	name:59
vanilla	unit	stables_required	2	155	2	1	1	1	2	1	number:2
vanilla	unit	stealth_noise_factor	148	9	148	1	15	12	26	14	number:148
vanilla	unit	strength	148	9	148	0	24	9	19	23	number:148
vanilla	unit	temple_required	1	156	1	1	1	1	1	1	number:1
vanilla	unit	thieves_guild_required	33	124	33	1	4	1	25	2	number:33
vanilla	unit	water_resistance	35	122	35	-200	100	25	8	13	number:35
vanilla	unit	wisdom	148	9	148	0	16	6	37	12	number:148
vanilla	unit	wizards_tower_required	49	108	49	1	4	1	16	4	number:49
vanilla	spell	barter_value_proc	192	0	0	-	-	-	0	0	procedure:192
vanilla	spell	bolt_aura	1	191	1	-1	-1	-1	1	1	number:1
