profile	symbol	kind	field	shape	value	line
vanilla	adventsword	artifact	attack_proc	procedure	<procedure 30 tokens>	1
vanilla	adventsword	artifact	barter_proc	procedure	<procedure 3 tokens>	1
vanilla	adventsword	artifact	begin_turn_proc	procedure	<procedure 25 tokens>	1
vanilla	adventsword	artifact	category	number	2	1
vanilla	adventsword	artifact	description	expression	textdict /T_artifact_descript_adventsword get	1
vanilla	adventsword	artifact	description_table	dictionary	<dictionary 4 tokens>	1
vanilla	adventsword	artifact	faith	name	DEATH	1
vanilla	adventsword	artifact	image	number	5	1
vanilla	adventsword	artifact	mod_proc	procedure	<procedure 91 tokens>	1
vanilla	adventsword	artifact	name	expression	textdict /T_artifact_name_adventsword get	1
vanilla	adventsword	artifact	portrait_code	text	dewwep	1
vanilla	adventsword	artifact	unmod_proc	procedure	<procedure 7 tokens>	1
vanilla	adventsword	artifact	wield	name	ARTIFACT_WIELD_RIGHT	1
vanilla	adventsword	artifact	wield_champion_types	procedure	<procedure 3 tokens>	1
vanilla	adventsword	artifact	wield_faiths	procedure	<procedure 3 tokens>	1
vanilla	amfireprot	artifact	barter_proc	procedure	<procedure 3 tokens>	1
vanilla	amfireprot	artifact	category	number	2	1
vanilla	amfireprot	artifact	defend_proc	procedure	<procedure 20 tokens>	1
vanilla	amfireprot	artifact	description	expression	textdict /T_artifact_descript_amfireprot get	1
vanilla	amfireprot	artifact	description_table	dictionary	<dictionary 4 tokens>	1
vanilla	amfireprot	artifact	faith	name	FIRE	1
vanilla	amfireprot	artifact	image	number	1	1
vanilla	amfireprot	artifact	mod_proc	procedure	<procedure 14 tokens>	1
vanilla	amfireprot	artifact	name	expression	textdict /T_artifact_name_amfireprot get	1
vanilla	amfireprot	artifact	portrait_code	text	fiamul	1
vanilla	amfireprot	artifact	unmod_proc	procedure	<procedure 7 tokens>	1
vanilla	amfireprot	artifact	wield	name	ARTIFACT_WIELD_EITHER	1
vanilla	amfireprot	artifact	wield_champion_types	procedure	<procedure 5 tokens>	1
vanilla	amfireprot	artifact	wield_faiths	procedure	<procedure 3 tokens>	1
vanilla	amiensbld	artifact	barter_proc	procedure	<procedure 3 tokens>	1
vanilla	amiensbld	artifact	category	number	2	1
vanilla	amiensbld	artifact	description	expression	textdict /T_artifact_descript_amiensbld get	1
vanilla	amiensbld	artifact	description_table	dictionary	<dictionary 2 tokens>	1
vanilla	amiensbld	artifact	faith	name	EARTH	1
vanilla	amiensbld	artifact	image	number	8	1
vanilla	amiensbld	artifact	mod_proc	procedure	<procedure 2 tokens>	1
vanilla	amiensbld	artifact	name	expression	textdict /T_artifact_name_amiensbld get	1
vanilla	amiensbld	artifact	portrait_code	text	eapot1	1
vanilla	amiensbld	artifact	unmod_proc	procedure	<procedure 2 tokens>	1
vanilla	amiensbld	artifact	wield	name	ARTIFACT_WIELD_EITHER	1
vanilla	amiensbld	artifact	wield_champion_types	procedure	<procedure 5 tokens>	1
vanilla	amiensbld	artifact	wield_faiths	procedure	<procedure 10 tokens>	1
vanilla	amulet_of_chance	artifact	attack_proc	procedure	<procedure 2 tokens>	1
vanilla	amulet_of_chance	artifact	barter_proc	procedure	<procedure 3 tokens>	1
vanilla	amulet_of_chance	artifact	can_be_used	name	false	1
vanilla	amulet_of_chance	artifact	category	number	1	1
vanilla	amulet_of_chance	artifact	defend_proc	procedure	<procedure 2 tokens>	1
