symbol	kind	in-vanilla	in-patch302	in-gs5r3	patch302-vs-vanilla	gs5r3-vs-vanilla	gs5r3-vs-patch302	changed-fields
artifact:adventsword	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:ai_stat_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amfireprot	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:amiensbld	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:amulet_chance	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_crystal	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_defense	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_demon	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_fate	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_ghost	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_indecision	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_infestation	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_of_chance	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_control	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_defense	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_fate	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_illusion	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_indecision	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_order	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_persuasion	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_poison	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_of_revelation	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:amulet_poison	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_revelation	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_serpent	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:amulet_wisp	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:andvari_ring	artifact	yes	yes	yes	identical	token-level	token-level	category,description,image,mod_proc,questonly?
artifact:anti_tarnaxe	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:aquaring	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:aramoug_amulet	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:armor_archon	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:armor_dragonscale	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:armor_ebony_plate	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:armor_elven_chain	artifact	no	no	yes	identical	only-in-right	only-in-right	-
