left-profile	left-symbol	right-profile	right-symbol	kind	left-member	right-member
vanilla	death/altosac	gs5r3	death/quest/altosac	encounter	gs\dungeons\death\altosac.gs	gs\dungeons\death\quest\altosac.gs
vanilla	death/deathgt	gs5r3	death/quest/deathgt	encounter	gs\dungeons\death\deathgt.gs	gs\dungeons\death\quest\deathgt.gs
vanilla	death/encounter2	gs5r3	death/quest/encounter2	encounter	gs\dungeons\death\encounter2.gs	gs\dungeons\death\quest\encounter2.gs
vanilla	death/encounter4b	gs5r3	death/quest/encounter4b	encounter	gs\dungeons\death\encounter4b.gs	gs\dungeons\death\quest\encounter4b.gs
vanilla	death/encounter4c	gs5r3	death/quest/encounter4c	encounter	gs\dungeons\death\encounter4c.gs	gs\dungeons\death\quest\encounter4c.gs
vanilla	death/encounter5	gs5r3	death/quest/encounter5	encounter	gs\dungeons\death\encounter5.gs	gs\dungeons\death\quest\encounter5.gs
vanilla	earth/barrow2	gs5r3	earth/quest/barrow2	encounter	gs\dungeons\earth\barrow2.gs	gs\dungeons\earth\quest\barrow2.gs
vanilla	earth/encounter1	gs5r3	earth/quest/encounter1	encounter	gs\dungeons\earth\encounter1.gs	gs\dungeons\earth\quest\encounter1.gs
vanilla	earth/encounter10	gs5r3	earth/quest/encounter10	encounter	gs\dungeons\earth\encounter10.gs	gs\dungeons\earth\quest\encounter10.gs
vanilla	earth/encounter11	gs5r3	earth/quest/encounter11	encounter	gs\dungeons\earth\encounter11.gs	gs\dungeons\earth\quest\encounter11.gs
vanilla	earth/encounter14	gs5r3	earth/quest/encounter14	encounter	gs\dungeons\earth\encounter14.gs	gs\dungeons\earth\quest\encounter14.gs
vanilla	earth/encounter15	gs5r3	earth/quest/encounter15	encounter	gs\dungeons\earth\encounter15.gs	gs\dungeons\earth\quest\encounter15.gs
vanilla	earth/encounter16	gs5r3	earth/quest/encounter16	encounter	gs\dungeons\earth\encounter16.gs	gs\dungeons\earth\quest\encounter16.gs
vanilla	earth/encounter17	gs5r3	earth/quest/encounter17	encounter	gs\dungeons\earth\encounter17.gs	gs\dungeons\earth\quest\encounter17.gs
vanilla	earth/encounter18	gs5r3	earth/quest/encounter18	encounter	gs\dungeons\earth\encounter18.gs	gs\dungeons\earth\quest\encounter18.gs
vanilla	earth/encounter19	gs5r3	earth/quest/encounter19	encounter	gs\dungeons\earth\encounter19.gs	gs\dungeons\earth\quest\encounter19.gs
vanilla	earth/encounter2	gs5r3	earth/quest/encounter2	encounter	gs\dungeons\earth\encounter2.gs	gs\dungeons\earth\quest\encounter2.gs
vanilla	earth/encounter20	gs5r3	earth/quest/encounter20	encounter	gs\dungeons\earth\encounter20.gs	gs\dungeons\earth\quest\encounter20.gs
vanilla	earth/encounter21	gs5r3	earth/quest/encounter21	encounter	gs\dungeons\earth\encounter21.gs	gs\dungeons\earth\quest\encounter21.gs
vanilla	earth/encounter22	gs5r3	earth/quest/encounter22	encounter	gs\dungeons\earth\encounter22.gs	gs\dungeons\earth\quest\encounter22.gs
vanilla	earth/encounter23	gs5r3	earth/quest/encounter23	encounter	gs\dungeons\earth\encounter23.gs	gs\dungeons\earth\quest\encounter23.gs
vanilla	earth/encounter24	gs5r3	earth/quest/encounter24	encounter	gs\dungeons\earth\encounter24.gs	gs\dungeons\earth\quest\encounter24.gs
vanilla	earth/encounter25	gs5r3	earth/quest/encounter25	encounter	gs\dungeons\earth\encounter25.gs	gs\dungeons\earth\quest\encounter25.gs
vanilla	earth/encounter26	gs5r3	earth/quest/encounter26	encounter	gs\dungeons\earth\encounter26.gs	gs\dungeons\earth\quest\encounter26.gs
vanilla	earth/encounter27	gs5r3	earth/quest/encounter27	encounter	gs\dungeons\earth\encounter27.gs	gs\dungeons\earth\quest\encounter27.gs
vanilla	earth/encounter28	gs5r3	earth/quest/encounter28	encounter	gs\dungeons\earth\encounter28.gs	gs\dungeons\earth\quest\encounter28.gs
vanilla	earth/encounter29	gs5r3	earth/quest/encounter29	encounter	gs\dungeons\earth\encounter29.gs	gs\dungeons\earth\quest\encounter29.gs
vanilla	earth/encounter3	gs5r3	earth/quest/encounter3	encounter	gs\dungeons\earth\encounter3.gs	gs\dungeons\earth\quest\encounter3.gs
vanilla	earth/encounter30	gs5r3	earth/quest/encounter30	encounter	gs\dungeons\earth\encounter30.gs	gs\dungeons\earth\quest\encounter30.gs
vanilla	earth/encounter31	gs5r3	earth/quest/encounter31	encounter	gs\dungeons\earth\encounter31.gs	gs\dungeons\earth\quest\encounter31.gs
vanilla	earth/encounter32	gs5r3	earth/quest/encounter32	encounter	gs\dungeons\earth\encounter32.gs	gs\dungeons\earth\quest\encounter32.gs
vanilla	earth/encounter4	gs5r3	earth/quest/encounter4	encounter	gs\dungeons\earth\encounter4.gs	gs\dungeons\earth\quest\encounter4.gs
vanilla	earth/encounter5	gs5r3	earth/quest/encounter5	encounter	gs\dungeons\earth\encounter5.gs	gs\dungeons\earth\quest\encounter5.gs
vanilla	earth/encounter6	gs5r3	earth/quest/encounter6	encounter	gs\dungeons\earth\encounter6.gs	gs\dungeons\earth\quest\encounter6.gs
vanilla	earth/encounter8	gs5r3	earth/quest/encounter8	encounter	gs\dungeons\earth\encounter8.gs	gs\dungeons\earth\quest\encounter8.gs
vanilla	earth/encounter9	gs5r3	earth/quest/encounter9	encounter	gs\dungeons\earth\encounter9.gs	gs\dungeons\earth\quest\encounter9.gs
vanilla	earth/genbrew	gs5r3	earth/quest/genbrew	encounter	gs\dungeons\earth\genbrew.gs	gs\dungeons\earth\quest\genbrew.gs
vanilla	earth/gencrys	gs5r3	earth/quest/gencrys	encounter	gs\dungeons\earth\gencrys.gs	gs\dungeons\earth\quest\gencrys.gs
vanilla	earth/gengold	gs5r3	earth/quest/gengold	encounter	gs\dungeons\earth\gengold.gs	gs\dungeons\earth\quest\gengold.gs
vanilla	earth/orccaves2	gs5r3	earth/quest/orccaves2	encounter	gs\dungeons\earth\orccaves2.gs	gs\dungeons\earth\quest\orccaves2.gs
vanilla	earth/orccaves3	gs5r3	earth/quest/orccaves3	encounter	gs\dungeons\earth\orccaves3.gs	gs\dungeons\earth\quest\orccaves3.gs
vanilla	earth/swampcaves	gs5r3	earth/quest/swampcaves	encounter	gs\dungeons\earth\swampcaves.gs	gs\dungeons\earth\quest\swampcaves.gs
vanilla	fire/encounter2	gs5r3	fire/quest/encounter2	encounter	gs\dungeons\fire\encounter2.gs	gs\dungeons\fire\quest\encounter2.gs
