name	kind	evidence	profiles	member	line	byte-offset	registered-in	display-name	display-source	fields	references	anchor
adventsword	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\adventsword.gs	1	0	gs\artifact.gs	The Adventurous Sword	text-table	15	5	artifact-adventsword
ai_stat_bonus	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\ai_stat_bonus.gs	1	0	gs\artifact.gs	AI Stat Bonus	declared-name	17	1	artifact-ai-stat-bonus
amfireprot	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\amfireprot.gs	1	0	gs\artifact.gs	Amulet of Fire Protection	text-table	14	3	artifact-amfireprot
amiensbld	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\amiensbld.gs	1	0	gs\artifact.gs	Amien's Blood	text-table	13	4	artifact-amiensbld
amulet_chance	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\amulet_chance.gs	1	0	gs\artifact.gs	Amulet of Chance	declared-name	30	7	artifact-amulet-chance
amulet_crystal	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\amulet_crystal.gs	1	0	gs\artifact.gs	Crystal Amulet	declared-name	36	7	artifact-amulet-crystal
amulet_defense	artifact	registered-by-operator	gs5r3	gs\artifact\ORDER\amulet_defense.gs	1	0	gs\artifact.gs	Amulet of Defense	declared-name	30	6	artifact-amulet-defense
amulet_demon	artifact	registered-by-operator	gs5r3	gs\artifact\FIRE\amulet_demon.gs	1	0	gs\artifact.gs	Demon's Torch	declared-name	34	6	artifact-amulet-demon
amulet_fate	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\amulet_fate.gs	1	0	gs\artifact.gs	Legendary - Amulet of Fate	declared-name	32	7	artifact-amulet-fate
amulet_ghost	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\amulet_ghost.gs	1	0	gs\artifact.gs	Ghostly Pendant	declared-name	34	5	artifact-amulet-ghost
amulet_indecision	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\amulet_indecision.gs	1	0	gs\artifact.gs	Amulet of Indecision	declared-name	31	6	artifact-amulet-indecision
amulet_infestation	artifact	registered-by-operator	gs5r3	gs\artifact\DEATH\amulet_infestation.gs	1	0	gs\artifact.gs	Ashes of Infestation	declared-name	33	7	artifact-amulet-infestation
amulet_of_chance	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulchan.gs	1	0	gs\artifact.gs	Amulet of Chance	declared-name	19	7	artifact-amulet-of-chance
amulet_of_control	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulcon.gs	1	0	gs\artifact.gs	Amulet of Control	declared-name	18	5	artifact-amulet-of-control
amulet_of_defense	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amuldefe.gs	1	0	gs\artifact.gs	Amulet of Defense	declared-name	18	7	artifact-amulet-of-defense
amulet_of_fate	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulfate.gs	1	0	gs\artifact.gs	Greater Artifact - Amulet of Fate	declared-name	21	5	artifact-amulet-of-fate
amulet_of_illusion	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulillu.gs	1	0	gs\artifact.gs	Amulet of Illusion	declared-name	18	8	artifact-amulet-of-illusion
amulet_of_indecision	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulinde.gs	1	0	gs\artifact.gs	Amulet of Indecision	declared-name	19	7	artifact-amulet-of-indecision
amulet_of_order	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amuorder.gs	1	0	gs\artifact.gs	Amulet of Order	declared-name	16	10	artifact-amulet-of-order
amulet_of_persuasion	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulpers.gs	1	0	gs\artifact.gs	Amulet of Persuasion	declared-name	17	7	artifact-amulet-of-persuasion
amulet_of_poison	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulpois.gs	1	0	gs\artifact.gs	Amulet of Poison	declared-name	18	7	artifact-amulet-of-poison
amulet_of_revelation	artifact	registered-by-operator	vanilla,patch302	gs\artifact\amulrev.gs	1	0	gs\artifact.gs	Amulet of Revelation	declared-name	19	7	artifact-amulet-of-revelation
amulet_poison	artifact	registered-by-operator	gs5r3	gs\artifact\DEATH\amulet_poison.gs	1	0	gs\artifact.gs	Amulet of Poison	declared-name	37	9	artifact-amulet-poison
amulet_revelation	artifact	registered-by-operator	gs5r3	gs\artifact\LIFE\amulet_revelation.gs	1	0	gs\artifact.gs	Amulet of Revelation	declared-name	33	6	artifact-amulet-revelation
amulet_serpent	artifact	registered-by-operator	gs5r3	gs\artifact\WATER\amulet_serpent.gs	1	0	gs\artifact.gs	Amulet of the Serpent	declared-name	33	9	artifact-amulet-serpent
amulet_wisp	artifact	registered-by-operator	gs5r3	gs\artifact\AIR\amulet_wisp.gs	1	0	gs\artifact.gs	Amulet of the Wisp	declared-name	33	7	artifact-amulet-wisp
andvari_ring	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\ringand.gs	1	0	gs\artifact.gs	Andvari's Ring	declared-name	14	2	artifact-andvari-ring
anti_tarnaxe	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\antitarnaxe.gs	1	0	gs\artifact.gs	Antitarnaxe	declared-name	14	1	artifact-anti-tarnaxe
aquaring	artifact	registered-by-operator	vanilla,patch302	gs\artifact\aquaring.gs	1	0	gs\artifact.gs	Aquaring	declared-name	18	7	artifact-aquaring
aramoug_amulet	artifact	registered-by-operator	vanilla,patch302	gs\artifact\aramoug.gs	1	0	gs\artifact.gs	Aramoug's Amulet	declared-name	18	8	artifact-aramoug-amulet
armor_archon	artifact	registered-by-operator	gs5r3	gs\artifact\ORDER\armor_archon.gs	1	0	gs\artifact.gs	Armor of the Archons	declared-name	35	23	artifact-armor-archon
armor_dragonscale	artifact	registered-by-operator	gs5r3	gs\artifact\FIRE\armor_dragonscale.gs	1	0	gs\artifact.gs	Dragonscale Armor	declared-name	35	18	artifact-armor-dragonscale
armor_ebony_plate	artifact	registered-by-operator	gs5r3	gs\artifact\DEATH\armor_ebony_plate.gs	1	0	gs\artifact.gs	Ebony Plate of the Void	declared-name	33	28	artifact-armor-ebony-plate
armor_elven_chain	artifact	registered-by-operator	gs5r3	gs\artifact\LIFE\armor_elven_chain.gs	1	0	gs\artifact.gs	Elven Chain Mail	declared-name	35	15	artifact-armor-elven-chain
armor_feather_chain	artifact	registered-by-operator	gs5r3	gs\artifact\AIR\armor_feather_chain.gs	1	0	gs\artifact.gs	Feather Chain Mail	declared-name	36	16	artifact-armor-feather-chain
armor_obsidian	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\armor_obsidian.gs	1	0	gs\artifact.gs	Obsidian Plate	declared-name	33	17	artifact-armor-obsidian
armor_of_inspiration	artifact	registered-by-operator	vanilla,patch302	gs\artifact\armorins.gs	1	0	gs\artifact.gs	Armor of Inspiration	declared-name	19	6	artifact-armor-of-inspiration
armor_urak	artifact	registered-by-operator	gs5r3	gs\artifact\armor_urak.gs	1	0	gs\artifact.gs	Urakian Armor	declared-name	31	22	artifact-armor-urak
artart	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\artart.gs	1	0	gs\artifact.gs	artart	declared-name	12	1	artifact-artart
ashes_of_infestation	artifact	registered-by-operator	vanilla,patch302	gs\artifact\ashesinf.gs	1	0	gs\artifact.gs	Ashes of Infestation	declared-name	19	9	artifact-ashes-of-infestation
axe_annihilation	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\axe_annihilation.gs	1	0	gs\artifact.gs	Legendary - Axe of Annihilation	declared-name	28	12	artifact-axe-annihilation
axe_great	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\axe_great.gs	1	0	gs\artifact.gs	Great Axe	declared-name	29	12	artifact-axe-great
axe_lode	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\axe_lode.gs	1	0	gs\artifact.gs	Legendary - Lode Axe	declared-name	32	11	artifact-axe-lode
axe_of_chaos	artifact	registered-by-operator	vanilla,patch302	gs\artifact\axechaos.gs	1	0	gs\artifact.gs	Greater Artifact - Axe of Chaos	declared-name	21	6	artifact-axe-of-chaos
axe_of_mauling	artifact	registered-by-operator	vanilla,patch302	gs\artifact\axemaul.gs	1	0	gs\artifact.gs	Greater Artifact - Axe of Mauling	declared-name	18	5	artifact-axe-of-mauling
axe_orcs	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\axe_orcs.gs	1	0	gs\artifact.gs	Axe of the Orcs	declared-name	33	10	artifact-axe-orcs
axe_swift	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\axe_swift.gs	1	0	gs\artifact.gs	Swift Axe	declared-name	29	12	artifact-axe-swift
balkoth_scythe	artifact	registered-by-operator	vanilla,patch302	gs\artifact\balkscyt.gs	1	0	gs\artifact.gs	Unique Artifact - Balkoth's Scythe	declared-name	20	6	artifact-balkoth-scythe
banner_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\banner_artifact.gs	1	0	gs\artifact.gs	Banner	declared-name	17	12	artifact-banner-artifact
belt_trollhide	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\belt_trollhide.gs	1	0	gs\artifact.gs	Trollhide Belt	declared-name	32	3	artifact-belt-trollhide
blowgun_of_the_amazons	artifact	registered-by-operator	vanilla,patch302	gs\artifact\blowamaz.gs	1	0	gs\artifact.gs	Greater Artifact-Blowgun of the Amazons	declared-name	19	5	artifact-blowgun-of-the-amazons
blowgun_waterspitter	artifact	registered-by-operator	gs5r3	gs\artifact\WATER\blowgun_waterspitter.gs	1	0	gs\artifact.gs	Legendary - Water Spitter	declared-name	32	6	artifact-blowgun-waterspitter
boots_stealth	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\boots_stealth.gs	1	0	gs\artifact.gs	Boots of Stealth	declared-name	29	2	artifact-boots-stealth
borchert_torch	artifact	registered-by-operator	vanilla,patch302	gs\artifact\bortorch.gs	1	0	gs\artifact.gs	Borchert's Torch	declared-name	17	7	artifact-borchert-torch
bow_earthshaker	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\bow_earthshaker.gs	1	0	gs\artifact.gs	Legendary - Earthshaker Bow	declared-name	33	6	artifact-bow-earthshaker
bow_of_bakal	artifact	registered-by-operator	vanilla,patch302	gs\artifact\bowbakal.gs	1	0	gs\artifact.gs	Greater Artifact - Bow of Bakal	declared-name	18	5	artifact-bow-of-bakal
bow_of_balladrine	artifact	registered-by-operator	vanilla,patch302	gs\artifact\bowballa.gs	1	0	gs\artifact.gs	Greater Artifact - Bow of Balladrine	declared-name	18	5	artifact-bow-of-balladrine
bow_of_quaal	artifact	registered-by-operator	vanilla,patch302	gs\artifact\bowquaal.gs	1	0	gs\artifact.gs	Greater Artifact - Bow of Quaal	declared-name	14	5	artifact-bow-of-quaal
bow_reed	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\bow_reed.gs	1	0	gs\artifact.gs	Reed Bow	declared-name	30	9	artifact-bow-reed
bow_spirit	artifact	registered-by-operator	gs5r3	gs\artifact\LIFE\bow_spirit.gs	1	0	gs\artifact.gs	Legendary - Spirit Bow	declared-name	33	5	artifact-bow-spirit
bow_tornado	artifact	registered-by-operator	gs5r3	gs\artifact\AIR\bow_tornado.gs	1	0	gs\artifact.gs	Legendary - Tornado Bow	declared-name	33	5	artifact-bow-tornado
burning_blade	artifact	registered-by-operator	vanilla,patch302	gs\artifact\burnblad.gs	1	0	gs\artifact.gs	Burning Blade	declared-name	19	8	artifact-burning-blade
burnskin_artifact	artifact	registered-by-operator	vanilla,patch302	gs\artifact\burnart.gs	1	0	gs\artifact.gs	Burnskin	declared-name	14	2	artifact-burnskin-artifact
cap_jester	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\cap_jester.gs	1	0	gs\artifact.gs	Jester's Cap	declared-name	33	2	artifact-cap-jester
chakram_entropy	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\chakram_entropy.gs	1	0	gs\artifact.gs	Chakram of Entropy	declared-name	32	5	artifact-chakram-entropy
