name	uses	class	broad-candidate	operator-entry-point
%	12	heuristic-false-positive	no	-
ACTION_HAS_MOVEPATH	2	constant-or-data	yes	-
ACTION_NOTHING	2	constant-or-data	yes	-
ACTION_NO_ACTION	2	constant-or-data	yes	-
ACTION_RESEARCH	2	constant-or-data	yes	-
ACTION_REST_INSIDE	2	constant-or-data	yes	-
ACTION_TRAINNING	2	constant-or-data	yes	-
ACTIVE_DOORWAY	68	constant-or-data	yes	-
AIR	565	constant-or-data	yes	-
AIR_ENC_CAV	1	script-definition	no	-
AIR_ENC_CHAMP	1	script-definition	no	-
AIR_ENC_CR1	1	script-definition	no	-
AIR_ENC_CR2	1	script-definition	no	-
AIR_ENC_CR3	1	script-definition	no	-
AIR_ENC_CR4	1	script-definition	no	-
AIR_ENC_CR5	1	script-definition	no	-
AIR_ENC_FIT	2	script-definition	no	-
AIR_ENC_INF	1	script-definition	no	-
AIR_ENC_MIS	1	script-definition	no	-
AIR_ENC_THF	2	script-definition	no	-
AIR_ENC_WIZ	2	script-definition	no	-
AI_Melee	1	script-definition	no	-
AI_Melee_Total	98	script-definition	no	-
AI_Missile_Total	98	script-definition	no	-
AI_Missle	1	script-definition	no	-
AI_PLAYERS	9	constant-or-data	yes	-
AI_Special	1	script-definition	no	-
AI_Surv	1	script-definition	no	-
AI_player_id	2	script-definition	no	-
AMAZON	19	constant-or-data	yes	-
ANY_SPOT	112	constant-or-data	yes	-
ARMY_DESTINATION	15	constant-or-data	yes	-
ARMY_DESTINATION_ARMY	11	constant-or-data	yes	-
ARMY_DESTINATION_EVENT	3	constant-or-data	yes	-
ARMY_DRAWN_UNIT	25	constant-or-data	yes	-
ARMY_FACING	7	script-definition	no	-
ARMY_FLAGS	35	script-definition	no	-
ARMY_FLAG_BIT_DEATH_FLAG	6	constant-or-data	yes	-
ARMY_FLAG_BIT_ENTER_COMBAT_AT_DESTINATION	6	constant-or-data	yes	-
ARMY_FLAG_BIT_IN_RALLY	6	constant-or-data	yes	-
ARMY_FLAG_BIT_MERGE_AT_DESTINATION	1	constant-or-data	yes	-
ARMY_FLAG_BIT_MOVING_STEALTHILY	1	constant-or-data	yes	-
ARMY_FLAG_BIT_PRISONER	4	constant-or-data	yes	-
ARMY_FLAG_BIT_RETREATED	5	constant-or-data	yes	-
ARMY_FLAG_BIT_THROUGH_DOORWAY	2	constant-or-data	yes	-
ARMY_LOCATION	278	script-definition	no	-
ARMY_MEETS_PLAYER_STRINGS	2	script-definition	no	-
ARMY_MPS	4	constant-or-data	yes	-
ARMY_NUM_UNITS	379	constant-or-data	yes	-
ARMY_OWNER	1022	script-definition	no	-
ARTIFACT_ATTACK_MOD_PROC	1	constant-or-data	yes	-
ARTIFACT_AUTOCALC_END_COMBAT_PROC	1	constant-or-data	yes	-
ARTIFACT_BARTER_PROC	17	constant-or-data	yes	-
ARTIFACT_BEGIN_TURN_PROC	2	constant-or-data	yes	-
ARTIFACT_CAN_BE_USED	4	constant-or-data	yes	-
ARTIFACT_CATEGORY	4	constant-or-data	yes	-
ARTIFACT_CHARGES	154	constant-or-data	yes	-
ARTIFACT_DEFEND_MOD_PROC	1	constant-or-data	yes	-
ARTIFACT_DICTIONARY	512	constant-or-data	yes	-
ARTIFACT_DOODAD_ID	72	script-definition	no	-
ARTIFACT_END_COMBAT_PROC	1	constant-or-data	yes	-
ARTIFACT_END_TURN_PROC	1	constant-or-data	yes	-
ARTIFACT_FLAG	168	script-definition	no	-
ARTIFACT_HAND_FLAG	22	script-definition	no	-
ARTIFACT_MANA	42	constant-or-data	yes	-
ARTIFACT_MAX_CHARGES	65	constant-or-data	yes	-
ARTIFACT_MAX_MANA	17	constant-or-data	yes	-
ARTIFACT_MOD_PROC	6	constant-or-data	yes	-
ARTIFACT_NAME	74	script-definition	no	-
ARTIFACT_OVERRIDE_FLAG	1	constant-or-data	yes	-
