name	uses	class	broad-candidate	operator-entry-point
ACTION_HAS_MOVEPATH	2	constant-or-data	yes	-
ACTION_NOTHING	2	constant-or-data	yes	-
ACTION_NO_ACTION	2	constant-or-data	yes	-
ACTION_RESEARCH	2	constant-or-data	yes	-
ACTION_REST_INSIDE	2	constant-or-data	yes	-
ACTION_TRAINNING	2	constant-or-data	yes	-
ACTIVE_DOORWAY	42	constant-or-data	yes	-
AIR	338	constant-or-data	yes	-
AI_Melee	1	script-definition	no	-
AI_Melee_Total	68	script-definition	no	-
AI_Missile_Total	68	script-definition	no	-
AI_Missle	1	script-definition	no	-
AI_PLAYERS	3	constant-or-data	yes	-
AI_Special	1	script-definition	no	-
AI_Surv	1	script-definition	no	-
AI_player_id	2	script-definition	no	-
AMAZON	17	constant-or-data	yes	-
ANY_SPOT	57	constant-or-data	yes	-
ARMY_DESTINATION	13	constant-or-data	yes	-
ARMY_DESTINATION_ARMY	9	constant-or-data	yes	-
ARMY_DESTINATION_EVENT	3	constant-or-data	yes	-
ARMY_DRAWN_UNIT	5	constant-or-data	yes	-
ARMY_FACING	6	script-definition	no	-
ARMY_FLAGS	16	constant-or-data	yes	-
ARMY_FLAG_BIT_DEATH_FLAG	3	constant-or-data	yes	-
ARMY_FLAG_BIT_ENTER_COMBAT_AT_DESTINATION	2	constant-or-data	yes	-
ARMY_FLAG_BIT_IN_RALLY	3	constant-or-data	yes	-
ARMY_FLAG_BIT_MERGE_AT_DESTINATION	1	constant-or-data	yes	-
ARMY_FLAG_BIT_PRISONER	2	constant-or-data	yes	-
ARMY_FLAG_BIT_RETREATED	3	constant-or-data	yes	-
ARMY_LOCATION	128	script-definition	no	-
ARMY_MEETS_PLAYER_STRINGS	1	script-definition	no	-
ARMY_MPS	4	constant-or-data	yes	-
ARMY_NUM_UNITS	196	constant-or-data	yes	-
ARMY_OWNER	410	script-definition	no	-
ARTIFACT_ATTACK_MOD_PROC	1	constant-or-data	yes	-
