profile	file	field	value
baseline	lom.cfg	size	160
baseline	lom.cfg	sha256	f4142b7507306309bd4e8a318cd8fed58fc0891a75d367093c0103a50f8fa1c9
baseline	lom.cfg	format	lom.cfg
baseline	lom.cfg	round-trips	true
baseline	lom.cfg	last-music-volume	0
baseline	lom.cfg	last-sound-fx-volume	0
baseline	lom.cfg	last-speech-volume	0
baseline	lom.cfg	last-ambient-volume	0
baseline	lom.cfg	help-panel-count	26
baseline	lom.cfg	help-panel-checks	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
baseline	lom.cfg	balkoth-kill-counter	0
baseline	lom.cfg	center-on-movement	0
baseline	lom.cfg	install-guid	519A38B2-5C54-444F-9F8E-E7B9C36C9002
baseline	lom.cfg	building-speech-flag	1
baseline	lom.cfg	show-completed-quests	1
baseline	lom.cfg	used-drawblt	1
baseline	settings.cfg	size	513
baseline	settings.cfg	sha256	5ffb139f5fbb7006511f85628ae3345996215185a6f781a69962c8bae8a80145
baseline	settings.cfg	format	settings.cfg
baseline	settings.cfg	round-trips	true
baseline	settings.cfg	records	23
baseline	settings.cfg	unparsed-records	0
baseline	settings.cfg	terminated	true
baseline	settings.cfg	setting:TOOL_TIP_TRANSLUCENCY	-1
baseline	settings.cfg	setting:TOOL_TIP_DELAY	2
baseline	settings.cfg	setting:LOCAL_MOUSE_SCROLL_SPEED	1
baseline	settings.cfg	setting:REGION_MOUSE_SCROLL_SPEED	1
baseline	settings.cfg	setting:WORLD_MOUSE_SCROLL_SPEED	1
baseline	settings.cfg	setting:COMBAT_MOUSE_SCROLL_SPEED	1
baseline	settings.cfg	setting:KB_MAP_SCROLL_SPEED	100
baseline	settings.cfg	setting:KB_COMBAT_SCROLL_SPEED	10
baseline	settings.cfg	setting:COMBAT_DISPLAY_HEALTH_BAR	2
baseline	settings.cfg	setting:COMBAT_DISPLAY_SMALL_HEALTH_BAR	4
baseline	settings.cfg	setting:COMBAT_DISPLAY_HALO	2
baseline	settings.cfg	setting:COMBAT_DISPLAY_FLAG	0
baseline	settings.cfg	setting:COMBAT_DISPLAY_AURA	0
baseline	settings.cfg	setting:MILITARY_SELECTION_MODE	1
baseline	settings.cfg	setting:GAME_SPEED	66
baseline	settings.cfg	setting:COMBAT_SPEED	121
baseline	settings.cfg	setting:BUILDING_SPEECH	1
baseline	settings.cfg	setting:MUSIC_VOLUME	100
baseline	settings.cfg	setting:SOUND_FX_VOLUME	100
baseline	settings.cfg	setting:SPEECH_VOLUME	100
baseline	settings.cfg	setting:AMBIENT_VOLUME	100
baseline	settings.cfg	setting:USE_DIRECTX_BLIT	-1
baseline	settings.cfg	setting:CENTER_MOVE	0
development	lom.cfg	size	160
development	lom.cfg	sha256	a781502500f9225dd9035d730935078fedc6af40378ddb4ac6e489efacb84016
development	lom.cfg	format	lom.cfg
development	lom.cfg	round-trips	true
development	lom.cfg	last-music-volume	0
development	lom.cfg	last-sound-fx-volume	0
development	lom.cfg	last-speech-volume	0
development	lom.cfg	last-ambient-volume	0
development	lom.cfg	help-panel-count	26
development	lom.cfg	help-panel-checks	0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
development	lom.cfg	balkoth-kill-counter	0
development	lom.cfg	center-on-movement	0
development	lom.cfg	install-guid	519A38B2-5C54-444F-9F8E-E7B9C36C9002
development	lom.cfg	building-speech-flag	1
development	lom.cfg	show-completed-quests	1
development	lom.cfg	used-drawblt	1
development	settings.cfg	size	513
development	settings.cfg	sha256	5ffb139f5fbb7006511f85628ae3345996215185a6f781a69962c8bae8a80145
development	settings.cfg	format	settings.cfg
development	settings.cfg	round-trips	true
development	settings.cfg	records	23
development	settings.cfg	unparsed-records	0
development	settings.cfg	terminated	true
development	settings.cfg	setting:TOOL_TIP_TRANSLUCENCY	-1
development	settings.cfg	setting:TOOL_TIP_DELAY	2
development	settings.cfg	setting:LOCAL_MOUSE_SCROLL_SPEED	1
development	settings.cfg	setting:REGION_MOUSE_SCROLL_SPEED	1
development	settings.cfg	setting:WORLD_MOUSE_SCROLL_SPEED	1
development	settings.cfg	setting:COMBAT_MOUSE_SCROLL_SPEED	1
development	settings.cfg	setting:KB_MAP_SCROLL_SPEED	100
development	settings.cfg	setting:KB_COMBAT_SCROLL_SPEED	10
development	settings.cfg	setting:COMBAT_DISPLAY_HEALTH_BAR	2
development	settings.cfg	setting:COMBAT_DISPLAY_SMALL_HEALTH_BAR	4
development	settings.cfg	setting:COMBAT_DISPLAY_HALO	2
development	settings.cfg	setting:COMBAT_DISPLAY_FLAG	0
development	settings.cfg	setting:COMBAT_DISPLAY_AURA	0
development	settings.cfg	setting:MILITARY_SELECTION_MODE	1
development	settings.cfg	setting:GAME_SPEED	66
development	settings.cfg	setting:COMBAT_SPEED	121
development	settings.cfg	setting:BUILDING_SPEECH	1
development	settings.cfg	setting:MUSIC_VOLUME	100
development	settings.cfg	setting:SOUND_FX_VOLUME	100
development	settings.cfg	setting:SPEECH_VOLUME	100
development	settings.cfg	setting:AMBIENT_VOLUME	100
development	settings.cfg	setting:USE_DIRECTX_BLIT	-1
development	settings.cfg	setting:CENTER_MOVE	0
gs5r3	lom.cfg	size	160
gs5r3	lom.cfg	sha256	f50698cd6b141e0e400dbf05d2f6b464331aa144ea00ba31ad74789d7165262b
gs5r3	lom.cfg	format	lom.cfg
gs5r3	lom.cfg	round-trips	true
gs5r3	lom.cfg	last-music-volume	0
gs5r3	lom.cfg	last-sound-fx-volume	0
gs5r3	lom.cfg	last-speech-volume	0
gs5r3	lom.cfg	last-ambient-volume	0
gs5r3	lom.cfg	help-panel-count	26
gs5r3	lom.cfg	help-panel-checks	0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gs5r3	lom.cfg	balkoth-kill-counter	0
gs5r3	lom.cfg	center-on-movement	0
gs5r3	lom.cfg	install-guid	519A38B2-5C54-444F-9F8E-E7B9C36C9002
gs5r3	lom.cfg	building-speech-flag	1
gs5r3	lom.cfg	show-completed-quests	1
gs5r3	lom.cfg	used-drawblt	-1
gs5r3	settings.cfg	size	513
gs5r3	settings.cfg	sha256	5ffb139f5fbb7006511f85628ae3345996215185a6f781a69962c8bae8a80145
