# profile	gs5r3
relative_path	size	sha256	extension	magic	probe_kind	extension_disagrees	probe_error
English/Battle.snp	241406	f2be8009aa188d8acee592c83a1e7b12800fd8552208ff729e792982b65e80bb	snp	ms-dos-executable	portable-executable	no	-
English/DPStub.exe	35328	958190a9feec27ea8e3b8dcb16d818e304c45071ead47f5c7947a67bcbe9cc06	exe	ms-dos-executable	portable-executable	no	-
English/GS5R3 Contributors.txt	2085	6f50accb88c31449e3daf54231813ad2093da253856694311ea02aa2d73b9d55	txt	ascii-text	text	no	-
English/GS5R3 README.txt	2316	87fda5e7b6f0098db3b33b1d71c7274aea38afe1f22a1ad64157807391ad2e38	txt	ascii-text	text	no	-
English/GameuxInstallHelper.dll	96264	b07ffcd0af80f6b9fba09abe816ba2f0ff0d336639f1768fc317291bc635ece6	dll	ms-dos-executable	portable-executable	no	-
English/LANGUAGE.INF	9	2908aa99c0d19512488af9da3679b83e1c6746bef494b5b3317ea94cd01e4c95	inf	ascii-text	text	no	-
English/Launcher/LOMLauncher.exe	589312	1a28f3e2904080a4d1921fe93dfb9d26abfa495b4e8176572eff417b380dc938	exe	ms-dos-executable	portable-executable	no	-
English/Launcher/dbghelp.dll	1230992	a2b0274e4215e778bfd122ac9b0e389984f6ea4d7f97019c2027d95e7916331e	dll	ms-dos-executable	portable-executable	no	-
English/Shaders/crt/crt-lottes-fast-no-warp-bilinear.glsl	26208	b3321c84272230ec9d143b9995687ea8940881202dc74ca352bd05ebc5e39009	glsl	ascii-text	text	no	-
English/Shaders/interpolation/bilinear.glsl	1654	e741a3f07096c891bf3edfc89c82e0388acf35cbd832fed42edd5c9c3bc85e79	glsl	ascii-text	text	no	-
English/Shaders/interpolation/catmull-rom-bilinear.glsl	4615	18e89f829f4c82d5b1e0d1fa9b41d6698cf3fbd2d45ef8abb9f6d7a2452c9426	glsl	ascii-text	text	no	-
English/Shaders/interpolation/fsr.glsl	11177	5e4f814de1f7cb5b1ddae857e325fcfcc1868798a03ea782cf06106503ef2c7e	glsl	ascii-text	text	no	-
English/Shaders/interpolation/fsr.glsl.pass1	4613	714aefb863d42e21d876dde55b8c2c6748773426ffe6393e36a25b6d6c6e0de8	pass1	ascii-text	text	no	-
English/Shaders/interpolation/jinc2-dedither.glsl	6569	92f847c8e5c45d9ff0bb9bb0eccd91cb078aa533d5434335e9f927ab4ff22614	glsl	ascii-text	text	no	-
English/Shaders/interpolation/lanczos2-sharp.glsl	6760	31ce41ff6aea6269a36d0b805f651a95646dceb2462b5212e366d39b2d9a8a3d	glsl	ascii-text	text	no	-
English/Shaders/nearest-neighbor.glsl	1654	e741a3f07096c891bf3edfc89c82e0388acf35cbd832fed42edd5c9c3bc85e79	glsl	ascii-text	text	no	-
English/Shaders/readme.txt	330	067e1cf145b6f1e1c8168e40be56b097599afbab602ffca3f6b83041bddfe794	txt	ascii-text	text	no	-
English/Shaders/scanlines/scanline.glsl	2854	b1712048d3eb05d115ec743f267b3880d4926f8e71601096117ce184518ea020	glsl	ascii-text	text	no	-
English/Shaders/shader-package.zip	299144	b11fb8e9e57aa4a86f9ca5610cfe264f8bf44c5c017d92631fc80ae9c881871e	zip	zip-archive	unknown	no	-
English/Shaders/sharpen/rca-sharpen.glsl	4613	714aefb863d42e21d876dde55b8c2c6748773426ffe6393e36a25b6d6c6e0de8	glsl	ascii-text	text	no	-
English/Shaders/xbr/xbr-lv2-noblend.glsl	8575	ee799699fa96cf8e517cf563be58ef726f805095c3d5460d59b3f696a8dc09a9	glsl	ascii-text	text	no	-
English/Shaders/xbrz/xbrz-freescale-multipass.glsl	12553	bb33262daa8cba06026fe09bab2a29d60b4e89b4b966d6241aaabc9f8c5e640a	glsl	ascii-text	text	no	-
English/Shaders/xbrz/xbrz-freescale-multipass.glsl.pass1	8884	8785f14f704a4ce4a644c5e34174eccf75dd58f85023aa9c6efde88956a7f64f	pass1	ascii-text	text	no	-
English/Sierra.inf	616	688b388db5ef623b788f61361a63855a129d88225773ee66f2170f8ff965d28e	inf	ascii-text	text	no	-
English/Standard.snp	98282	7b527841c91d03d6acda8e6c73d67ffd744a9b252a58e7cdf0636dec14e0daee	snp	ms-dos-executable	portable-executable	no	-
English/Text/Menu/Menu_En.asr	375	9154b6361c2c1aada2f8518f9d4094403b571ca4589c70ec2d558afe687e7f9c	asr	asura-container	asura-text	no	-
English/Wav/Menu_Music.wav	4234976	97a0ca00a27c8554bbab56630155a553b64b0ac555454fc73ab10085ddb5844c	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Air.wav	11190316	ba04ce3624cd25db99fb9a384eb0284a0e7e5da488b9e495aa570343ffd0e106	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Chaos.wav	10566698	85d4ce994d50d3c7de3a6107207d9c0ae2524aae7cdbf32378c7b679d05a4840	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Death.wav	11330092	8f6c11f4eaef7977cd2f9684e44ba0276ebdb0fafe25ec95509e2b5aaeb76614	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Earth.wav	11452460	9dfd18f3a267a02fec6aba641660784dcffcb41637a8b4338a7a839452321020	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Fire.wav	11777836	a1c22294114c6a2af696509034b6806d4f3f7e729f67949f52e942d29ab91312	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Life.wav	10411190	9103b85fa98b2de212951b9ca453e57e037c07139b4be69c28c7f8ee45668b19	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Order.wav	10853418	85a0a5edf2113e1d6585ff008fd50f66dd77499cf0ea12038fe6d5a1f60bfab6	wav	wave-audio	wave-audio	no	-
English/Wav/Music/M_Water.wav	12355628	a3e686da73510c04a6b2c807d18ab5ce9f0f7e4fe140b2462b0ae698606f935c	wav	wave-audio	wave-audio	no	-
English/Wav/Music/lose1A.wav	283092	dd080a8133fa0e5bf663f09bab8a4a4fa1028a272fbffafbf8b7df16499a05d8	wav	wave-audio	wave-audio	no	-
