start	end	bytes	distinct_addresses	operators	operator_names
0x005aa08c	0x005aa264	472	71	350	addartifacttowonlist,addbuilding,addcapitol,addchildbuilding,addextramilitaryunitnow,addfaithselection,addfollower,addhelppanel,addsatellite,addspelleffect,addspriteunit,addspriteunitnow,addterrainsprite,addtogroup,addunit,addunitnow,aimedattack,aimedattackorder,allywarningcallback,animatearmy,armyanim,armyflee,armyspeed,attackorder,autoplay,balkothdeathcounter,barteraccept,barterattack,barterattackautocalc,bartercancelrenegotiate,barternotinterested,barterpropose,barterrenegotiate,berserk,building_help_callback,buildingdestroyedcallback,buildingdiplocallback,buildingmaxlevel,buildingupgradecallback,buybuilding,buybuildingoffaith,buyunit,can_train_hire_multiple,canaffordbuilding?,canaffordbuilding_getresourcesinfo,canstayinside?,cant_combine_callback,canupgradebuilding?,canupgradebuilding_getresourcesinfo,canuseartifact,canwieldartifact,canwieldartifactwithhand,castbreath,championbrainnotify,changecombatmap,changescenariomap,cheatbalkoth,citydiplocallback,cityviewtoworld,clearfaithselection,combattileset,combatviewtoworld,controlleroffaith,createingamemessage,createtemparmy,createvirtualarmy,defendarmy,defenderlost?,deletearmynow,deselectfaith,destroybuilding,destroycity,destroyterrainsprite,detectthief,dialoginfo,dialogtimeout,dismissunit,distractarmyorder,distractorder,doshrineofteleport,dospecialbuilding,dungeondiplocallback,endturn,enter_barter_callback,enter_building_callback,enter_combat_callback,enter_gt_callback,enter_library_callback,enter_town_callback,enterbuilding,enterbuildingcommand,entersprite,enterterrainsprite,enumactiveplayers,enumartifactswon,enumchildbuildings,enumchildren,enummilitaryunits,enumpossiblebuildings,enumrealplayers,enumselectarmyactions,executeprisoners,exitbuilding,faithselect,faithselectcleanup,findartifact,findmovetoloc,findunitwithname,formationview,freepow,freeprisoners,futureplayer,gatherartifactsincombat,get_show_completed_quests,getarmyaction,getarmycontainers,getarmyid,getarmyspells,getbalkothkillcounter,getbuildingdata,getbuildingparent,getcapitolfaiths,getcheatmode,getcheckmarkstate,getcitybuilding,getcitydata,getcityincombat,getcityinitiates,getclosepopupsproc,getcombatloser,getcombatwinner,getcurrdisplayingarmy,getcurrentfileactivity,getdungeonarmy,geteditdata,getfaitharmy,getfaithcenterlocation,getfaithstartlocation,getfileactivityprogresscallbackproc,getgamereservedint,getgenericarmycontainers,getgroupinfo,getlosingarmy,getpause,getprecombatproc,getrealtimeorder,getspecialbuildingresult,getspellinfo,getterrainspritelocation,getterrainspriteowner,getterrainspriteprocid,getterrainspritetype,getterrainspriteuserbitflag,getunitlevel,getunitlevelrange,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,getunittypelevelrange,getwinningarmy,givebuilding,grantplayerknowledgeaboutartifact,grantplayerknowledgeaboutspell,hasarmy?,hasorisarmy?,have_retreated,hireunit,hireunitat,indicatepath,initgamereservedints,installregent,instantiatemultileveldungeon,isactive?,isarmydead?,isarmyinterrainsprite?,iscastbreath?,iscityundertreaty?,isconquered?,iscontrolledbuilding?,isgreattemple?,ismovingstealthily?,isrally?,issatellite,isspitweb?,justentered,killunit,knockoutprisoners,launchmissile,leave_combat_callback,liberate_gt_callback,loadconfig,loadgame,loadmap,loadscenariomap,loadspecialmap,locatechampion,locationview,longmoveattack,longmoveevent,longmovemerge,longmovemergeat,magicattackorder,maptileset,matchguids,maxhelppanels,movearmy,movedungeonarmy,moveprisoners,movetoloc,movetorefmap,naddspriteunit,naddterrainsprite,naddunit,netcomputersassigned,netgamestarted,newgame,npaintelevation,nsetarmydata,nsetbuildingdata,nsetcitydata,nsetcityinitiates,nsetplayerdata,nsetterrain,nsetunitdata,numturnstoreacharmy,numturnstoreachcity,onetimeonly,parryorder,partialarmystrength,playerbarteraccept,playerbarterattack,playerbartercancelrenegotiate,playerbarternotinterested,playerbarterpropose,playerbarterrenegotiate,prisonerandescort,rally,receive_artifact_callback,regionview,removearmy,removedeadunits,removedungeonarmy,removeunitmodifiers,reoccupy,requestgame,researchpossiblehere?,reset_eoturn_callback,resetcombat,resetcombatresultprocs,reseteoturn,resetnetworking,safeattack,safemovetoloc,safemovetorefmap,satellitegetstrongholdlevel,saveconfig,savegame,savelevel,savescenariomap,savespecialmap,scanforplaceholders,select_party_callback,selectedarmiescancastbreath?,selectedarmiescanspitweb?,selectscenario,send_thief_message,sendcallbackmessage,sendchatmessage,sendgameovercallbackmessage,sendoptionsmessage,sendthiefstoleresource,set_retreat_flag,set_show_completed_quests,setarmydata,setbuildinglevel,setcastbreath,setcenteronmovement,setcheatmode,setcitybuilding,setcitybuildingdata,setcitydata,setcityinitiates,setclosepopupsproc,setcontrollingcomputer,setdialogbackground,setdivergecallback,setdivergecleanupcallback,setenterexitprogressfilenamecallbackproc,setfileactivityprogresscallbackproc,setgamereservedint,setgocountdown,setlastaudiosettings,setleader,setmaxspells,setpause,setplayergo,setplayername,setprecombatproc,setrally,setspellinfo,setspitweb,setterrainspritelocation,setterrainspriteowner,setterrainspritetype,setterrainspriteuserbitflag,setticktime,setunitcommander,shortmove,showskull,specialbuildingcallback,specialorder,spitweb,startcombat,startgame,startmovingstealthily,startnetgame,stayputatloc,stayputatrefloc,stealth,stoparmy,stopmovingstealthily,subdue,surrender,switchcommanders,switchunits,templecanbuildthistype,templegetcity,terrainspritebartervalue,tick,togglehelpcheck,train_hire_multiple_getresourcesinfo,trainunit,trainunitat,transferartifact,transferartifactandwield,transformtouniqueunit,uncheckallhelppanels,unitbits2unitnum,unpauseallarmies,unpolymorph,unwieldartifact,updateinteleffects,updatespellsusedincombat,upgradebuilding,upgradebuildingcost,upkeepbuildingcost,validcurrentartifact?,waypointsattack,wieldartifact,worldview
0x005ae880	0x005aea70	496	54	276	abracadabra,addfollower,addsatellite,addspelleffect,any_en_route?,anyartifactplayerdontknow?,anythingat,anythinglocation,anythingowner,armiesaveragespeed,armiesstrengthgreaterthan,armiesstrengthlessthan,army_en_route?,armyat,autoregions,buildingat,buybuilding,buybuildingoffaith,can_flank_attack?,canaffordbuilding?,canaffordbuilding_getresourcesinfo,cantmovehere,centermilitaryunit,changecombatmap,cheapestarmy,checklinks,cityat,clearregions,closecitygate,combat_controltarget,combat_deadtarget,combat_enumgrouparmies,combat_grouploc,combat_playerdeadtarget,combatformation,combatviewtoworld,conetarget,countunittypes,cpr,createghost,defaultfringe,defendingcitycornerwalldirection,defendingcityfaith,defendingcityfrontwalldirection,defendingcitysidewalldirection,defendingcitywalllevel,defensivemultitargetloc,distractorder,enumaiterrainsprites,enumallarmies,enumallplayeractivearmies,enumallplayerarmies,enumallseenarmies,enumallseenplayerarmies,enumarmies,enumarmiesinradius,enumarmiesnotuseinplay,enumbuildings,enumchildren,enumcities,enumconetargetarmies,enumconetargetlocations,enumplayerarmies,enumplayerarmiesnotuseinplay,enumplayerbuildings,enumplayercities,enumrallyarmies,enumseenarmies,enumseenplayerarmies,enumspelleffects,enumterrainsprites,faithselect,fastestarmy,find_empty_x_y,findarmy,findarmywithchampiontype,findcityoffaith,findemptyconnectedlocation,findemptylocation,findgreattemple,findmovetoloc,forcetexture,gameoverforcurrentuser,gamerestartforcurrentuser,getautocalcproc,getautocalcshouldbeusedproc,getavecombatunitdata,getaveunithealth,getchampiontarget,getcitybuilding,getcitydata,getcityincombat,getcombatselectionbits,getcombatunitlevel,getdoorwaycalled,getdoorwayid,getdoorwaypresent,getdoorwayproc,getdoorwaystatusproc,getelevation,getfaithcenterlocation,getfaithstartlocation,getgatearmy,getgateheight,getgateinfo,getgridflags,getlocationatscreenxy,getmissiletarget,getmouseloc,getnearestenemy,getnearestenemyatloc,getnearestenemyatlocchecktargets,getnumattackers,getobjectofcombat,getplayergroupintoformation,getplayerretreatedlocation,getpredoorwayproc,getspellinfo,getspritelocation,getspritescreenx,getspritescreeny,getterrain,getterraintypename,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,getwalkheight,getwalkpathpixels,getwallheight,getwallpathpixels,griddistance,hocuspocus,indicatepath,initmovementflags,initmovementflags_citycombat,isanything?,isarmy?,isarmybeingattacked?,isarmydamagingtarget?,isbuilding?,iscity?,iscitygateclose?,iscitygateopen?,isfleemark?,isgatedestroy?,isgreattempleactive?,isonlywizardleft?,isplayerinsidecity?,isspelleffect?,isterrainsprite?,isvalidterraintype?,kickarmyout,landingplace,launchmissile,loadlevel,loadmap,loadsubmappages,locationexplored?,locationindirection,locationseen?,lomlighttables,longestmissilearmy,longmoveattack,longmoveevent,longmoveeventtolocation,longmovemergeat,longmovetolocation,longmovetosprite,maph,mapw,maxslope,militaryunitsremainingincombat,moveaway,moveout,movetoloc,movetorefmap,movetoward,mycheapestarmy,myfastestarmy,myslowestarmy,newmap,npaintelevation,nsetunitdata,numturnstoreachsprite,opencitygate,paintelevation,placecitywall_cantwalkhorizontal,placecitywall_cantwalkvertical,placecitywall_gate,placecombatarmies,placecornercitywall,placefrontcitywall,placefrontladder,placesidecitywall,placesideladder,playerarmiesstrength,playeraveragerangemissile,playercenterlocarmies,playergetnumgroups,playerlongestmissilearmy,playernumarmies,playertarmiesaveragespeed,playterrainambiance,positionmap,pre_combat_attacker_barter_value,pre_combat_defender_barter_value,preparecitybattlemap,preparedefendingcity,realgriddistance,releasemap,repoman,resetcombat,resetcombatflag,resetnetworking,resetplayervisibility,resetvisibility,rotatemap,rotatex,rotatey,rotatez,savelevel,savemap,scale,selectarmy,setambientvolume,setarmydata,setautocalcproc,setautocalcshouldbeusedproc,setcitybuilding,setcitybuildingdata,setcitydata,setcityscroll,setcitywallpieces,setdoorwayid,setdoorwaypresent,setdoorwayproc,setdoorwaystatusproc,setelevation,setexplored,setgateheight,setgatepieces,setgridflag,setpredoorwayproc,setretreatarea_facing,setretreatarea_xxyy,setspritezoommode,setterrain,setterrainspritelocation,setterrainspriteprocid,setwalkheight,setwalkpathpixels,setwallheight,setwallpathpixels,shortmove,showmaplocation,showplayerarmyloc2player,showplayerleaderloc2player,showplayersight2player,spelleffectat,spritetype,startcombat,stayputatloc,stayputatrefloc,strongestarmy,templecanbuildthistype,templegetcity,terrainspriteat,testvisit,unitindex2realarmy,unknowndarken,unloadboat,unseendarken,updateinteleffects,x_y_to_xy,xy_to_x_y,zerovisibility
0x005a7b50	0x005a7da8	600	105	257	animatearmy,animation,armybeginturnproc,armychangedproc,armydieproc,attackorder,attackproc,bargraph,barteraccept,barterattack,barterattackautocalc,bartercancelrenegotiate,barternotinterested,barterpropose,barterrenegotiate,blankimpplayer,button,buttonframe,buttonframeautofree,centermilitaryunit,centeronarmy,changeplayerintelinfo,characterwidth,citybeginturnproc,collectletters,combat_get_percent_nonthief,combat_get_percent_thief,combat_get_percent_thiefindetectingmode,combatmodeproc,combinecontainerspots,compresscontainer,container,copydoodad,cpr,crop,currentarmy,currentarmyunitbits,currentbuilding,currentcity,currentcombinedarmy,currentscreen,currentselectioncanmove?,currentuser,doodad,drawbox,drawimpframe,drawline,drawobject,editbox,endcombatproc,endturn,enemycombinedarmy,enterbuilding,enternetpikfaithscreen,enumimphotspots,enummemorystatistics,enumselectarmyactions,enumselectgroupactions,executeprisonerproc,faithselect,filldoodad,finishmagicproc,flagimp,font,fontallocatedpage?,free,freeprisonerpoleffectproc,freeprisonerproc,gamemodeproc,genericproc,getbargraph,getbarterarmy,getbarterproc,getblockon,getblockunitindex,getbuttonframepageinfo,getbuttonstaydown,getcenteronmovement,getcombathitproc,getcombatselectionbits,getcontainerdata,getcontainerselectedoutlinecolor,getcropdata,getcurrdisplayingarmy,getcurrentselection,getdisplaymode,getdoodadheight,getdoodadinfo,getdoodadwidth,geteditboxdata,geteditboxtext,getfinishcombatproc,getfontheight,getimpfilename,getimphotspot,getimpmemory,getmissilehitproc,getpagefilename,getpageheight,getpagewidth,getremapdata,getselectionbox,getselectionboxmouseitem,getslider,getsubdueproc,getunithitpoints,getunitindex,getunitlevelrange,getunitmovementpoints,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,getunittypelevelrange,getuserproc,getxywhdata,getzoommode,handlecombatgroupkey,have_retreated,identifypage,imp,impplayer,incombat,inmainview,instantkillprisoner,interrogateprisonerproc,isgroupselect,knockoutprisonerproc,knockoutprisoners,lbm,loadconfig,locationmodeproc,locationview,magicattackorder,makepage,makepage16,maxgraphics,memorystatistics,mountimp,needhealing?,newlocationproc,nextarmy,nextarmymps,nextcity,playimp,polattitudechangeproc,poollength,poolobjecttype,previousarmy,previousarmymps,previouscity,rallyproc,rallyresult,regionmodeproc,remap,removeunits,replaceimp,resetcombat,reseteoturn,resetselectiondisplayingmode,resetvisibility,restorehealth,savebmp,savedefaultarmy,savelbm,scrolling_get_percent_nonthief,scrolling_get_percent_thief,scrolling_get_percent_thiefindetectingmode,select_new_play,selectarmy,selectarmyproc,selectcityproc,selectedarmiescancastbreath?,selectedarmiescanspitweb?,selectionbox,selectnothingproc,selectunits,selectvillageproc,set_custom_play,set_retreat_flag,setbargraph,setbargraphdata,setbarterproc,setblockon,setbuttonnofeedback,setbuttonrepeat,setbuttonsound,setbuttonstaydown,setbuttonsticker,setcenteronmovement,setchatfont,setcombathitproc,setcombatmousetrackproc,setcombatscrollpixels,setcombatselectionbits,setconfusedimage,setcontainerdata,setcontaineroutlinewidth,setcontainerselectedoutlinecolor,setcurrentselection,setdetectthiefimage,setdisplaymode,setdoknockoutprisonercallback,setdoodadheight,setdoodadinfo,setdoodadwidth,seteditboxfont,seteditboxtext,seteditlength,seteditscrolldelay,seteditscrolltick,setelevationbrush,setfinishcombatproc,setimpplayeraction,setimpplayerdirection,setimpplayerfacing,setimpplayerframe,setimpplayerimp,setmissilehitproc,setpagepalette,setpathballfont,setplayerbars,setplayerintelinfo,setqueststatus,setremapdata,setresetunitmodifiersproc,setselectionbox,setslider,setsliderbar,setstealthseenimage,setsubdueproc,setterrainbrush,setthinkingimage,settooltipfont,settranslucency,setuserproc,slider,startmagicproc,startordermode,stealingfeedbackproc,swapcontainerspots,tcopydoodad,testalpha,thiefnotificationeproc,thiefproc,thiefresolveproc,togglescrollmusic,toptriangle,tortureprisonerproc,turnchangeproc,uniticonimp,unitimp,unitsnapshot,unpauseallarmies,unsettranslucency,worldmodeproc,xywh,zerovisibility
0x00584ae0	0x00584af0	16	4	128	additem,ambientlight,autoplay,autoregions,blackbackbuffer,blackrenderbuffer,blttest,cameraorientation,cameraposition,cancelfocus,cancelordermode,canuseleftartifact,canuserightartifact,castspell,centermilitaryunit,centeronarmy,checkforcd,cleardialog,clearscriptoutputfile,closedialog,closescriptwindow,coarsescrollpixels,createtemparmy,createvirtualarmy,dialog,dialoginfo,dialogisopen?,dialogposition,diffuselight,drawimpframe,editmode,enumcombatattackspells,enumcombatdefendspells,enumgeneralspells,enumopendialogs,enumterraspells,exitapp,faithselect,faithselectcleanup,free,gamemode,getcitycombatscale,getcontainerselectedoutlinecolor,getcurrentcombatattackspell,getcurrentcombatdefendspell,getcurrentgeneralspell,getcurrentterraspell,getfocus,gethighlightcolor,getitem,getleftartifact,getlineofsite,getmemorystats,getmodescale,getmodeticktime,getplayerindicatorcolor,getrightartifact,gettempsavegamefilename,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,initusers,isinspellcastmode?,keydelay,limitscrollinginpixels,maxdialogs,messagebox,modal,modalloop,modeless,netcomputersassigned,nextarmy,nextarmymps,nextcity,opaque,opendialog,openscriptwindow,orthographic,perspective,playimp,previousarmy,previousarmymps,previouscity,processgamemessages,refreshdialog,refreshdirty,refreshitem,rendermap,replaceimp,requestgame,resetcombat,reseteoturn,restore,rotatemap,rotatex,rotatey,rotatez,screencapture,scrollmap,set_memory_warning_callback,setactivateprocedure,setcitycombatscale,setcombatscrollpixels,setcontainerselectedoutlinecolor,setcurrentcombatattackspell,setcurrentcombatdefendspell,setcurrentgeneralspell,setcurrentterraspell,setfocus,sethighlightcolor,setitem,setlineofsite,setmaxitems,setmodescale,setmodeticktime,setplayerindicatorcolor,setupmode,setuserforplayer,specialversion?,specifyspelltarget,startattackmode,startordermode,systemmode,testalpha,topdialog,toptriangle,translucent,transparent
0x005cd18c	0x005cd358	460	22	88	addauratype,addbuildinginfo,addextramilitaryunitnow,addfaithselection,addmissiletype,addmounttype,addquest,addquestdefinition,addreferencepalette,addterrainspritetype,addunit,addunitnow,aimedattack,artifacttype,berserk,canaffordbuilding_getresourcesinfo,canbuildbuilding?,canupgradebuilding_getresourcesinfo,check_level_explored,clearmessages,clearunitacks,connecttosigs,connecttostorm,costbuildbuilding,countunittypes,createartifact,createartifactnow,createbuildinginfolist,createbuildingrequirementslist,disconnect,enternetpikfaithscreen,enumartifacttypes,enumbuildbuilding,enumnetworkleaders,getarmyshare,getaveunithealth,getcombatprocid,getfaithtype,getincombatspoils,getmyfaithtype,getnewgameseed,getquestdefinition,getqueststatus,getresourcechangecallback,getterrainspritetypedata,getunittypecodecount,getunittypecount,getunittypedata,getunittypesound,getunittypeterraincost,getunittypeterraindelay,matchguids,maxauratypes,maxmissiletypes,maxmounttypes,maxreferencepalettes,maxterrainspritetypes,maxunittypes,naddunit,netcomputersassigned,netleadertype,numunittypes,remap,removequest,requestleader,resetnetworking,savelevel,setbuildingposition,setbuildingrequirements,setcombatprocid,setincombatspoils,setmaxartifacttypes,setmaxquesttypes,setmultilevelconquered,setmultiplayerflag,setnewgameseed,setqueststatus,setremapdata,setresourcechangecallback,setterrainspritetypedata,setunittypedata,setunittypesound,setunittypeterraincost,setunittypeterraindelay,subdue,unitcodegettype,unitsnapshot,unittype
0x00584c1c	0x00584d64	328	34	84	addhotkey,addspelleffect,addtobarter,adjustbartertoratio,barteraccept,barterattack,barterattackautocalc,barterautocalcattackspecified?,bartercancelrenegotiate,barternotinterested,barterpropose,barterrenegotiate,break,castspell,clearscriptwindow,clearslots,closescriptwindow,disablehotkeys,disablescriptwindow,emptybarterslot,enablehotkeys,enablescriptwindow,enumarmiesinbarter,enumartifactsinbarter,enumbuildingsinbarter,enumcitiesinbarter,enumitemsinbarter,enumspellsinbarter,enumterrainspritesinbarter,enumunitsinbarter,getactivebarterplayer,getavailableforbarter,getbarterarmy,getbarterdiplomaticconfirmation,getbarterlocalartifactknowledge,getbarterlocalartifactsonly,getbarterlocalunitsonly,getbarterplayers,getbartersessioncount,getbartersessionid,getbarterslot,getbarterstate,getbartertone,getcastdata,getendordermodeproc,gethotkey,getpassivebarterplayer,getspellinfo,initcastdata,lightning,loadlightningpal,magicattackorder,marketbartervalue,maxlightningpals,minimize,perceivedbartervalue,playerbarteraccept,playerbarterattack,playerbartercancelrenegotiate,playerbarternotinterested,playerbarterpropose,playerbarterrenegotiate,playercancelbartersession,qtyinbarter,removefrombarter,removehotkey,savescriptwindow,setbarterdiplomaticconfirmation,setbarterlocalartifactknowledge,setbarterlocalartifactsonly,setbarterlocalunitsonly,setbarterslot,setbartertone,setcastdata,setendordermodeproc,setlightningstep,setmaxhotkeys,setmaxlightningbolts,setplayerbarterslot,setspellinfo,showmaplocation,spellrequest,startbartersession,updatescriptwindow
0x005aee6c	0x005aef10	164	17	83	addquest,addspelldef,autoregions,canceldiscoveralarm,cancelendofcombattickalarms,canceleventalarm,cancelmovealarm,canceltickalarm,cancelturnalarm,championbrainnotify,championbrainresponsecode,championhasbrain?,clearquests,clearregions,connectedbyland,connectedbywater,defensivemultitargetloc,disablespell,discoveralarm,enableallspells,enablespell,enumadjacentlocations,enumadjacentregions,enummatchingchampionbrains,enumpossibleresearchtopics,enumquests,enumregionarmies,enumregioncities,eventalarm,findeventalarm,findgeography,findmatchingbrain,findregions,getchampionbrainarg,getchampionbrainavailable,getchampionbrainname,getcurrenttickalarmdata,getcurrentturnalarmdata,getmaxspells,getnumspells,getqueststatus,getregionatscreenxy,getregionfaiths,getregionname,getregionowner,getregionraces,getspelldefdata,getspellname,ischampionbrainargvalid?,isdisabledspell?,isplayingquest,longmovemerge,longmovemergeat,markborder,movealarm,neventalarm,nospritemoving,numturnstoreacharmy,numturnstoreachcity,numturnstoreachsprite,placecitywall_gate,regionatlocation,removechampionbrain,removequest,rerunbrain,researchpossiblehere?,setchampionbrain,setchampionbrainarg,setchampionbrainavailable,setcurrenttickalarmdata,setcurrentturnalarmdata,setplayingquest,setquestresetproc,setqueststatus,setregionfaiths,setregionname,setregionowner,setregionraces,setspelldefdata,startspellmode,testvisit,tickalarm,turnalarm
0x00555b78	0x00556168	1520	33	78	addartifacttowonlist,addauratype,artifactarmy,artifactself,artifactunit,bargraph,barteraccept,barterattack,barterattackautocalc,bartercancelrenegotiate,barternotinterested,barterpropose,barterrenegotiate,canuseartifact,canuseleftartifact,canuserightartifact,canwieldartifact,canwieldartifactwithhand,clearscriptoutputfile,createartifact,createartifactnow,createtemparmy,createvirtualarmy,destroyartifact,destroyartifacttype,enumallartifacts,enuminvisibleartifacts,enumunitartifacts,enumwieldedartifacts,getartifactdata,getartifacttypedata,getbargraph,getbuildingrequirementdata,getcurrentartifactdata,getdiplomaticdata,getfatebits,getfatecount,getleftartifact,getrightartifact,getunitfate,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,iscurrentartifactknowntoplayer?,iscurrentartifactwielded?,maxauratypes,playerbarteraccept,playerbarterattack,playerbartercancelrenegotiate,playerbarternotinterested,playerbarterpropose,playerbarterrenegotiate,playercancelbartersession,savedefaultarmy,setartifactdata,setartifacttypedata,setbargraph,setbargraphdata,setbarterslot,setbartertone,setbuildingrequirementdata,setformation,setmaxartifacttypes,setplayerbarterslot,setunitfate,specifycurrentartifact,splitownership,stoparmy,testalpha,testvisit,transferartifact,transferartifactandwield,unitsnapshot,unwieldartifact,updatebargraphs,validcurrentartifact?,wieldartifact,wieldartifactifroom
0x00572584	0x00572af0	1388	68	72	any_en_route?,anythinglocation,anythingowner,army_en_route?,blttest,break,button,characterwidth,chronocmp,collectletters,copydoodad,doodad,drawbox,drawline,drawobject,enummemorystatistics,exitapp,filesize,filldoodad,fontallocatedpage?,getbuttonframepageinfo,getbuttonstaydown,getcitycombatscale,getdiskfreespace,getdoodadheight,getdoodadinfo,getdoodadwidth,geteditboxdata,geteditboxtext,getfontheight,getimpfilename,getimpmemory,getmodescale,getmodeticktime,getoutnow,getpagefilename,getpageheight,getpagewidth,getselectionbox,getselectionboxmouseitem,getspritelocation,getspritescreenx,getspritescreeny,getterraintypename,getunitlevel,getuserproc,getxywhdata,identifypage,lbm,loadlevel,maxgraphics,maxpalettes,memorystatistics,movearmy,moveselectedunit,permanentpolymorph,savebmp,savelbm,setbuttonnofeedback,setbuttonstaydown,setbuttonsticker,setcitycombatscale,setdoodadheight,setdoodadinfo,setdoodadwidth,seteditboxfont,seteditboxtext,setmodescale,setmodeticktime,setpagepalette,setuserproc,tcopydoodad
0x00573df4	0x0057447c	1672	49	56	addbestetaattackrequest,airstrengthinregion,enuminvaders,getairesponse,getcombatselectionbits,gethighlightcolor,getregiontoinvade,getrelationship,getturnaibrain,getturnaidict,getunitindex,getunittypecodecount,getunittypecount,getunittypedata,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,getunittypesound,getunittypeterraincost,getunittypeterraindelay,iscityundertreaty?,landstrengthinregion,longmoveattack,longmoveevent,longmoveeventtolocation,longmovemerge,longmovemergeat,longmovetosprite,maxunittypes,numturnstoreacharmy,numturnstoreachcity,numturnstoreachsprite,playvideo,playvideo_stretch,playvideoshutdown,removeunitmodifiers,setairesponse,setcombatselectionbits,sethighlightcolor,setmilitaryselectionmode,setregiontoinvade,setrelationship,setturnaibrain,setturnaidict,setunittypedata,setunittypesound,setunittypeterraincost,setunittypeterraindelay,shortmove,strengthinregion,testvisit,uniticonimp,unitimp,unittype,unloadboat,waterstrengthinregion
