name	entry_point	behaviour	boundary	instructions	decoded_extent_bytes	arity	arity_candidates	nominal_arity	declared_arity	arity_agrees	loop_carried_operands	operand_state_cap_hit	helper_pops	helper_pushes	inline_pops	inline_pushes	calls	call_targets	tail_calls	indirect_calls	virtual_call_slots	globals_read	constant_refs	globals_written	pointer_write_addresses	global_addresses	constant_addresses	string_refs	import_kinds_at_depth	state_write_depth	calls_mutating_method	direct_imports
a_u_to_au	0x004e5c40	unknown	complete	110	356	-	0,1,2	2	2	yes	no	no	0	0	2	1	4	0x4026a0,0x404ab0,0x4d4550,0x5394a0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
abracadabra	0x004ac0b0	reads-state	complete	112	363	-	0,1,2	2	2	yes	no	no	0	0	2	1	5	0x4026a0,0x404ab0,0x4abec0,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@3,memory@5,thread@2,window-input@3,time@3,other@3	3	yes	-
abs	0x004cbfa0	floating-point	complete	77	15207	-	0,1	1	1	yes	no	no	0	0	1	1	1	0x4d4550	0	0	-	0	1	0	-	-	0x54dd20	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
actual2relative	0x0045b010	reads-state	complete	119	377	-	0,1,2	2	2	yes	no	no	0	0	2	2	4	0x4026a0,0x404ab0,0x45a830,0x4d4550	0	0	-	1	0	0	-	0x579458	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
add	0x004ca900	floating-point	complete	168	521	-	0,1,2	2	2	yes	no	no	0	3	2	0	3	0x41d1d0,0x4d4550,0x5394a0	0	0	-	0	2	0	-	-	0x54dd10,0x54dd18	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
addambientsound	0x0047ad80	reads-state	complete	90	286	-	0,1,2	2	2	yes	no	no	0	0	2	0	3	0x47ac30,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x585b94	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addartifacttowonlist	0x00428920	reads-state	complete	88	268	-	0,1,2	2	2	yes	no	no	1	0	1	0	6	0x41bf10,0x428840,0x4288e0,0x4d41c0,0x4d4550,0x5394a0	0	0	-	1	2	0	-	0x5aa12c	0x555d78,0x555da0	2	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addauratype	0x0042e290	reads-state	complete	178	552	-	0,1,2,3,4,5,6	6	6	yes	no	no	1	0	5	1	7	0x4026a0,0x404ab0,0x40adb0,0x42dcc0,0x42e160,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5cd334	0x555eb4	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addbestetaattackrequest	0x00521660	reads-state	complete	182	520	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	5	0x4026a0,0x404ab0,0x437310,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5ccedc	0x573e68	1	file-io@5,archive@4,memory@5,thread@2,window-input@2,time@2,other@2	2	yes	-
addblankitem	0x00490b60	unknown	complete	38	120	1	1	1	1	yes	no	no	0	0	0	1	4	0x48d840,0x4906d0,0x4d41c0,0x4d4550	0	0	-	0	1	0	-	-	0x55c478	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
