operator	base	base_kind	offset	width	access	indexed	depth
abracadabra	0x005ae958	static	0x64	4	read	scalar	1
abracadabra	0x005ae958	static	0x68	4	read	scalar	1
actual2relative	0x00579458	static	0x40	4	read	scalar	1
actual2relative	0x00579458	static	0x44	4	read	scalar	1
addauratype	0x005cd334	static	0x0	4	read	scalar	1
addauratype	0x005cd334	static	0x4	4	read	scalar	1
addauratype	0x005cd334	static	0x4	4	write	scalar	1
addauratype	0x005cd334	static	0x8	4	read	scalar	1
addbestetaattackrequest	0x005ccedc	static	0x0	4	read	scalar	2
addbestetaattackrequest	0x005ccedc	static	0x4	4	read	scalar	2
addbestetaattackrequest	0x005ccedc	static	0x8	4	read	scalar	2
addbestetaattackrequest	0x005ccedc	static	0x10	0	read	scalar	2
addbuildinginfo	0x005cd310	static	0x0	4	read	scalar	2
addbuildinginfo	0x005cd310	static	0x4	4	read	scalar	2
addbuildinginfo	0x005cd310	static	0x4	4	write	scalar	2
addbuildinginfo	0x005cd310	static	0x8	4	read	scalar	2
addcapitol	0x005aa12c	static	0x482c	0	read	scalar	1
addcapitol	0x005aa12c	static	0x4848	0	read	scalar	2
addcapitol	0x005aa12c	static	0x484c	4	read	scalar	2
addcapitol	0x005aa12c	static	0x4890	4	read	scalar	2
addcapitol	0x005aa12c	static	0x4898	4	read	scalar	2
addcapitol	0x005aa12c	static	0x489c	4	read	scalar	2
addclosestarmyrequest	0x005ccedc	static	0x0	4	read	scalar	2
addclosestarmyrequest	0x005ccedc	static	0x4	4	read	scalar	2
addclosestarmyrequest	0x005ccedc	static	0x8	4	read	scalar	2
addclosestarmyrequest	0x005ccedc	static	0x10	0	read	scalar	2
adddirtyregion	0x005a79f0	static	0x0	4	read	scalar	2
adddirtyregion	0x005a79f0	static	0x0	4	write	scalar	2
adddirtyregion	0x005a79f0	static	0x4	4	read	scalar	2
adddirtyregion	0x005a79f0	static	0x8	4	read	scalar	2
adddirtyregion	0x005a79f0	static	0x8	4	write	scalar	2
adddirtyregion	0x005a79f0	static	0xc	4	read	scalar	2
adddirtyregion	0x005a79f0	static	0xc	4	write	scalar	2
adddirtyregion	0x005a79f0	static	0x10	4	read	scalar	2
adddirtyregion	0x005a79f0	static	0x14	4	read	scalar	1
adddirtyregion	0x005a79f0	static	0x18	4	read	scalar	1
adddirtyregion	0x005a79f0	static	0x1c	4	read	scalar	1
