base	territory_end	interior_bases	both	join_only	absolute_only	agreed_offsets
0x005aa12c	0x005b0df9	27	76	212	97	0x0,0x18,0x1c,0x20,0x24,0x28,0x8c,0xb4,0xb8,0x128,0x12c,0x130,0x518,0x5e4,0x660,0x688,0x6a4,0x6a8,0xc3c,0xc64,0xc84,0x475c,0x4760,0x476c,0x4770,0x4774,0x4778,0x477c,0x478c,0x4790,0x4798,0x47a8
0x00584ae8	0x005878e8	22	29	28	74	0x0,0x1b0,0x1b4,0x26c,0x270,0x684,0x688,0x68c,0x774,0x904,0x908,0x90c,0x910,0x914,0x918,0x920,0x18d0,0x18fc,0x1cd4,0x1ef4,0x1ef8,0x1efc,0x1f00,0x1f04,0x1f08,0x2bec,0x2dd4,0x2dd8,0x2dfc
0x005ae958	0x005aec40	3	17	53	7	0x4,0xc,0x18,0x34,0x40,0x48,0x4c,0x50,0x5c,0x60,0x64,0x68,0x6c,0x70,0xd8,0xec,0xf8
0x00585408	0x005867c0	8	15	23	6	0x0,0xfb0,0xfdc,0x1368,0x136c,0x1370,0x1374,0x1378,0x1390,0x1394,0x1398,0x139c,0x13a0,0x13ac,0x13b4
0x005876d0	0x00587975	0	13	74	3	0x0,0x48,0x4c,0x50,0x1a4,0x1a8,0x1ac,0x1b0,0x1b4,0x1dc,0x1ec,0x1f0,0x214
0x005869f4	0x00586ced	1	10	0	1	0x0,0x4,0x38,0x40,0x44,0x4c,0x50,0x54,0x58,0x2f8
0x005aef04	0x005af144	1	8	8	8	0x0,0xc,0x1b0,0x1b8,0x230,0x234,0x238,0x23c
0x00584cd4	0x00584d2b	0	7	8	0	0x8,0xc,0x18,0x1c,0x1d,0x20,0x24
0x005a9e04	0x005a9fd8	2	6	76	8	0x3c,0xcc,0xd0,0xd8,0xdc,0xe4
0x005867c0	0x005869f4	3	6	8	0	0x21c,0x220,0x224,0x228,0x22c,0x230
0x005ae8e8	0x005ae935	0	3	13	2	0x34,0x3c,0x40
0x005aa1dc	0x005aa1e8	0	3	0	0	0x0,0x4,0x8
0x005aea30	0x005aea60	0	3	7	0	0x0,0x14,0x20
0x005d3830	0x005d3850	0	3	4	0	0x0,0x4,0x8
0x005a7b50	0x005a7b58	0	2	0	0	0x0,0x4
0x005ae974	0x005ae99c	0	2	5	0	0x18,0x24
0x005aee6c	0x005aee78	0	2	1	0	0x0,0x4
0x005cd358	0x005d1f6c	0	2	5	0	0x4b2c,0x4b30
0x005adc50	0x005ae888	0	2	107	0	0xc30,0xc34
0x005cd2ec	0x005cd2f8	0	2	1	0	0x4,0x8
0x005aee78	0x005aee8c	0	1	4	0	0x10
0x005869f8	0x005869fc	0	1	0	0	0x0
0x005ccd74	0x005ccd78	0	1	0	0	0x0
0x005cce28	0x005cce2c	0	1	0	0	0x0
0x005aeed0	0x005aeedc	0	0	3	0	-
0x00579458	0x005794a0	0	0	2	0	-
0x005cd2e0	0x005cd2ec	0	0	3	0	-
0x005cd31c	0x005cd328	0	0	3	0	-
0x005aa1f0	0x005aa1fc	0	0	3	0	-
0x005aeedc	0x005aeee8	0	0	3	0	-
0x005cd340	0x005cd34c	0	0	3	0	-
0x00584ca8	0x00584cc4	0	0	6	1	-
0x00584cc4	0x00584cd0	0	0	3	0	-
0x00584d60	0x00584d64	0	0	1	0	-
0x005863c8	0x005863e0	0	0	5	0	-
0x005aeea0	0x005aeeb0	0	0	3	0	-
0x005cd304	0x005cd310	0	0	3	0	-
0x005cd34c	0x005cd358	0	0	3	0	-
0x005864f4	0x005864fc	0	0	2	0	-
0x005cd310	0x005cd31c	0	0	3	0	-
0x005863bc	0x005863c8	0	0	3	0	-
0x005aec60	0x005aec64	0	0	1	0	-
0x005aee8c	0x005aee9c	0	0	4	0	-
0x005aeeb0	0x005aeec0	0	0	4	0	-
0x005aeec0	0x005aeed0	0	0	4	0	-
0x005ccedc	0x005cceed	0	0	4	0	-
0x005cd2f8	0x005cd304	0	0	3	0	-
0x005cd328	0x005cd334	0	0	3	0	-
0x005cd334	0x005cd340	0	0	3	0	-
0x005d2f10	0x005d2f18	0	0	2	0	-
0x005564c8	0x005564d0	0	0	2	0	-
0x005564e0	0x005564e8	0	0	2	0	-
0x0055cb50	0x0055cb54	0	0	1	0	-
0x0055e7f0	0x0055e7f8	0	0	2	0	-
0x0055e92c	0x0055e930	0	0	1	0	-
0x00573c38	0x00573c3c	0	0	1	0	-
0x005787b8	0x005787c0	0	0	2	0	-
0x005854fc	0x00585500	0	0	1	0	-
0x005a79f0	0x005a7a14	0	0	9	0	-
0x005a9ddc	0x005a9e00	0	0	2	3	-
0x005aa08c	0x005aa118	0	0	8	0	-
0x005aa64c	0x005aa67f	1	0	19	0	-
0x005aad68	0x005ab304	0	0	15	3	-
0x005ccff4	0x005ccff8	0	0	1	0	-
0x005cd18c	0x005cd190	0	0	1	0	-
0x005cd1ac	0x005cd1ae	0	0	1	0	-
0x005d3820	0x005d3824	0	0	1	0	-
