base	base_kind	offset	widths	access	indexed	depth	readers	writers	writer_names
0x005ae958	static	0x4	4	read	scalar	1	9	0	-
0x005ae958	static	0x8	4	read-write	scalar	1	6	1	newmap
0x005ae958	static	0xc	4	read	scalar	1	2	0	-
0x005ae958	static	0x14	4	read	scalar	1	14	0	-
0x005ae958	static	0x18	4	read-write	scalar	1	3	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x1c	0	read	scalar	1	27	0	-
0x005ae958	static	0x20	4	read	scalar	1	6	0	-
0x005ae958	static	0x24	4	read-write	scalar	2	17	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x28	4	read-write	scalar	2	9	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x2c	4	read-write	scalar	2	8	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x30	4	read-write	scalar	2	6	7	releasemap,resetnetworking,rotatemap,rotatex,rotatey,rotatez,scale
0x005ae958	static	0x34	4	read-write	scalar	1	39	6	addfollower,createghost,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,newmap
0x005ae958	static	0x38	4	read-write	scalar	2	2	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x3c	4	write	scalar	2	0	1	newmap
0x005ae958	static	0x40	4	read-write	scalar	1	41	1	newmap
0x005ae958	static	0x44	4	read-write	scalar	1	2	1	paintelevation
0x005ae958	static	0x48	2|4	read	scalar	1	9	0	-
0x005ae958	static	0x4c	4	read	scalar	1	8	0	-
0x005ae958	static	0x50	4	read	scalar	2	8	0	-
0x005ae958	static	0x54	4	read-write	scalar	1	26	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x58	4	read-write	scalar	1	9	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x5c	0|4	read-write	scalar	1	26	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x60	0|4	read-write	scalar	1	25	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x64	4	read-write	scalar	0	58	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x68	4	read-write	scalar	0	32	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x6c	4	read-write	scalar	1	61	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x70	4	read-write	scalar	1	49	3	newmap,releasemap,resetnetworking
0x005ae958	static	0x74	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x78	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x7c	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x80	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x84	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x88	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x8c	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x90	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x94	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x98	4	write	scalar	1	0	1	newmap
0x005ae958	static	0x9c	4	write	scalar	1	0	1	newmap
0x005ae958	static	0xa0	4	write	scalar	1	0	1	newmap
0x005ae958	static	0xa4	4	write	scalar	1	0	1	newmap
0x005ae958	static	0xc8	4	write	scalar	2	0	1	newmap
0x005ae958	static	0xd4	4	write	scalar	2	0	1	newmap
0x005ae958	static	0xd8	0|4	read	scalar	1	10	0	-
0x005ae958	static	0xe4	4	read	scalar	2	1	0	-
0x005ae958	static	0xec	4	read	scalar	2	3	0	-
0x005ae958	static	0xf0	4	read	scalar	2	4	0	-
0x005ae958	static	0xf4	4	read	scalar	2	1	0	-
0x005ae958	static	0xf8	4	read	scalar	2	3	0	-
0x005ae958	static	0x104	4	read	scalar	2	4	0	-
