base	base_kind	operators	fields	written_fields	observed_extent	name_evidence	operator_names
0x005ae958	static	124	70	46	0x2e8	player:15,army:12,city:12,map:9,terrain:5,combat:4	abracadabra,addfollower,addsatellite,addspelleffect,anythingat,armiesaveragespeed,armiesstrengthgreaterthan,armiesstrengthlessthan,armyat,autoregions,buildingat,can_flank_attack?,cantmovehere,centermilitaryunit,changecombatmap,cheapestarmy,cityat,closecitygate,conetarget,createghost,distractorder,enumarmiesinradius,enumarmiesnotuseinplay,enumconetargetarmies,enumconetargetlocations,enumplayerarmies,enumplayerarmiesnotuseinplay,faithselect,fastestarmy,find_empty_x_y,findarmy,findemptyconnectedlocation,findemptylocation,findmovetoloc,forcetexture,getchampiontarget,getelevation,getfaithcenterlocation,getfaithstartlocation,getgridflags,getlocationatscreenxy,getmissiletarget,getplayergroupintoformation,getplayerretreatedlocation,getterrain,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,griddistance,hocuspocus,initmovementflags,initmovementflags_citycombat,isplayerinsidecity?,landingplace,launchmissile,loadlevel,loadmap,loadsubmappages,locationexplored?,locationseen?,longestmissilearmy,longmovemergeat,moveaway,movetoloc,movetorefmap,movetoward,mycheapestarmy,myfastestarmy,myslowestarmy,newmap,npaintelevation,opencitygate,paintelevation,placecitywall_cantwalkhorizontal,placecitywall_cantwalkvertical,placecitywall_gate,placecombatarmies,placecornercitywall,placefrontcitywall,placefrontladder,placesidecitywall,placesideladder,playerarmiesstrength,playeraveragerangemissile,playercenterlocarmies,playerlongestmissilearmy,playernumarmies,playertarmiesaveragespeed,playterrainambiance,preparecitybattlemap,realgriddistance,releasemap,resetcombat,resetnetworking,resetplayervisibility,resetvisibility,rotatemap,rotatex,rotatey,rotatez,savelevel,savemap,scale,selectarmy,setambientvolume,setelevation,setexplored,setgridflag,setretreatarea_facing,setretreatarea_xxyy,setterrain,setterrainspritelocation,showplayerarmyloc2player,showplayerleaderloc2player,showplayersight2player,spelleffectat,stayputatloc,stayputatrefloc,strongestarmy,terrainspriteat,testvisit,updateinteleffects,x_y_to_xy,zerovisibility
0x005a7b50	static	108	2	2	0x8	imp:19,player:8,map:3,unit:3,save:2,sound:1	animation,bargraph,blankimpplayer,button,buttonframe,buttonframeautofree,combinecontainerspots,compresscontainer,container,copydoodad,crop,doodad,drawbox,drawimpframe,drawline,drawobject,editbox,enumimphotspots,filldoodad,flagimp,font,fontallocatedpage?,free,getbargraph,getbuttonframepageinfo,getbuttonstaydown,getcontainerdata,getcontainerselectedoutlinecolor,getcropdata,getdoodadheight,getdoodadinfo,getdoodadwidth,geteditboxdata,geteditboxtext,getfontheight,getimpfilename,getimphotspot,getimpmemory,getpagefilename,getpageheight,getpagewidth,getremapdata,getselectionbox,getselectionboxmouseitem,getslider,getxywhdata,identifypage,imp,impplayer,lbm,makepage,makepage16,maxgraphics,mountimp,playimp,poolobjecttype,remap,replaceimp,savebmp,savelbm,selectionbox,setbargraph,setbargraphdata,setbuttonnofeedback,setbuttonrepeat,setbuttonsound,setbuttonstaydown,setbuttonsticker,setchatfont,setconfusedimage,setcontainerdata,setcontaineroutlinewidth,setcontainerselectedoutlinecolor,setdetectthiefimage,setdoodadheight,setdoodadinfo,setdoodadwidth,seteditboxfont,seteditboxtext,seteditlength,seteditscrolldelay,seteditscrolltick,setimpplayeraction,setimpplayerdirection,setimpplayerfacing,setimpplayerframe,setimpplayerimp,setpagepalette,setpathballfont,setplayerbars,setremapdata,setselectionbox,setslider,setsliderbar,setstealthseenimage,setthinkingimage,settooltipfont,settranslucency,slider,swapcontainerspots,tcopydoodad,testalpha,toptriangle,uniticonimp,unitimp,unitsnapshot,unsettranslucency,xywh
0x005aa12c	static	73	288	214	0x6ccd	combat:9,map:7,unit:6,army:4,building:4,save:4	addcapitol,addextramilitaryunitnow,addsatellite,addterrainsprite,addunit,addunitnow,armyflee,attackorder,balkothdeathcounter,changecombatmap,changescenariomap,cheatbalkoth,cityviewtoworld,combattileset,combatviewtoworld,controlleroffaith,createingamemessage,defenderlost?,deletearmynow,destroyterrainsprite,distractorder,endturn,enumactiveplayers,enumchildbuildings,enumpossiblebuildings,enumrealplayers,faithselect,faithselectcleanup,formationview,futureplayer,gatherartifactsincombat,getbuildingdata,getbuildingparent,getcombatloser,getcombatwinner,getlosingarmy,getpause,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,getwinningarmy,launchmissile,loadconfig,loadgame,loadscenariomap,loadspecialmap,locationview,magicattackorder,maptileset,matchguids,netgamestarted,newgame,regionview,resetcombat,resetnetworking,satellitegetstrongholdlevel,saveconfig,savegame,savescenariomap,savespecialmap,scanforplaceholders,sendchatmessage,sendoptionsmessage,set_show_completed_quests,setcitydata,setpause,specialorder,spitweb,startcombat,startnetgame,tick,updatespellsusedincombat,worldview
0x005ae974	static	66	7	1	0x28	combat:11,sprite:10,player:9,unit:6,army:4,building:3	addsatellite,any_en_route?,anythinglocation,anythingowner,army_en_route?,autoregions,can_flank_attack?,combat_controltarget,combat_deadtarget,combat_enumgrouparmies,combat_grouploc,combat_playerdeadtarget,countunittypes,enumaiterrainsprites,enumallarmies,enumallplayeractivearmies,enumallplayerarmies,enumallseenarmies,enumallseenplayerarmies,enumarmies,enumbuildings,enumcities,enumplayerbuildings,enumplayercities,enumrallyarmies,enumseenarmies,enumseenplayerarmies,enumspelleffects,enumterrainsprites,findarmywithchampiontype,findgreattemple,getavecombatunitdata,getaveunithealth,getchampiontarget,getcombatselectionbits,getcombatunitlevel,getmissiletarget,getspritelocation,getspritescreenx,getspritescreeny,indicatepath,isanything?,isarmy?,isbuilding?,iscity?,isfleemark?,isgreattempleactive?,isonlywizardleft?,isplayerinsidecity?,isspelleffect?,isterrainsprite?,launchmissile,longmoveevent,longmovetosprite,militaryunitsremainingincombat,numturnstoreachsprite,playergetnumgroups,preparedefendingcity,repoman,resetcombatflag,rotatemap,setspritezoommode,spritetype,startcombat,templecanbuildthistype,unitindex2realarmy
0x00584ae8	static	55	57	13	0x2e00	army:5,map:3,city:2,imp:2,player:2,spell:2	ambientlight,blackbackbuffer,blackrenderbuffer,blttest,cameraorientation,cameraposition,cancelordermode,centermilitaryunit,centeronarmy,checkforcd,closescriptwindow,coarsescrollpixels,diffuselight,drawimpframe,exitapp,faithselect,gamemode,getcontainerselectedoutlinecolor,gethighlightcolor,getmemorystats,getplayerindicatorcolor,isinspellcastmode?,messagebox,modalloop,nextarmy,nextarmymps,nextcity,openscriptwindow,orthographic,perspective,playimp,previousarmy,previousarmymps,previouscity,refreshdirty,rendermap,reseteoturn,restore,rotatemap,rotatex,rotatey,rotatez,screencapture,scrollmap,setcontainerselectedoutlinecolor,sethighlightcolor,setlineofsite,setplayerindicatorcolor,setupmode,specifyspelltarget,startattackmode,startordermode,systemmode,testalpha,toptriangle
0x00584cd4	static	38	15	12	0x57	player:10,army:1,artifact:1,building:1,spell:1,sprite:1	addtobarter,adjustbartertoratio,barteraccept,barterattack,barterattackautocalc,bartercancelrenegotiate,barternotinterested,barterpropose,barterrenegotiate,clearslots,emptybarterslot,enumarmiesinbarter,enumartifactsinbarter,enumbuildingsinbarter,enumcitiesinbarter,enumitemsinbarter,enumspellsinbarter,enumterrainspritesinbarter,enumunitsinbarter,getactivebarterplayer,getavailableforbarter,getbarterarmy,getbarterslot,getpassivebarterplayer,marketbartervalue,perceivedbartervalue,playerbarteraccept,playerbarterattack,playerbartercancelrenegotiate,playerbarternotinterested,playerbarterpropose,playerbarterrenegotiate,playercancelbartersession,qtyinbarter,removefrombarter,setbarterslot,setplayerbarterslot,startbartersession
0x00585408	static	28	38	24	0x13b8	sound:12,unit:2	fadeoutmusic,interruptsound,issoundplaying,loaddynamicsound,loadstaticsound,loopsoundfx,modifymood,playambientloop,playambientsfx,playmoodmusic,playmusic,playsoundfx,playsoundfxwait,playspeech,playspeechvol,playunitsoundfx,playvoice,setambientvolume,setlastaudiosettings,setmusicvolume,setsoundfxvolume,setspeechvolume,smartsound,stopallsoundfx,stopambientloop,stopsoundfx,togglescrollmusic,virtualunitselectspeak
0x005876d0	static	28	87	68	0x2a5	map:7,faith:3,combat:1,unit:1	ambientlight,arrow_scroll,cameraorientation,cameraposition,centermilitaryunit,centeron,changetexture,create3dmap,diffuselight,faithselect,faithselectcleanup,lightorientation,lomlighttables,map2screen,orthographic,perspective,positionfaithmap,positionmap,rebuild3dmap,resetcombat,rotatemap,rotatex,rotatey,rotatez,scale,scrollmap,wrappingoff,wrappingon
0x005aef04	static	28	16	8	0x240	region:16,city:2,faith:2,army:1,sprite:1	autoregions,clearregions,connectedbyland,connectedbywater,enumadjacentlocations,enumadjacentregions,enumregionarmies,enumregioncities,findgeography,findregions,getregionatscreenxy,getregionfaiths,getregionname,getregionowner,getregionraces,longmovemerge,longmovemergeat,markborder,numturnstoreacharmy,numturnstoreachcity,numturnstoreachsprite,placecitywall_gate,regionatlocation,setregionfaiths,setregionname,setregionowner,setregionraces,testvisit
0x005d1e84	indirect	26	10	1	0x394	net:7,faith:2	createnetworkgame,deselectfaith,enumnetworkcomputers,enumnetworkgames,enumproviders,getcomputername,getmyfaithtype,getproviderbackground,getproviderbuttontexture,ishost,joinnetworkgame,justentered,matchguids,modemcreate,modemdial,netcomputersassigned,netlockgame,networkgamename,numcomputers,providername,requestgame,selectprovider,setcomputername,setproviderbackground,setproviderbuttontexture,thiscomputer
