subject	operators_with_word	base	base_kind	matching	share
army	132	0x005ae958	static	12	9%
army	132	0x005aa12c	static	4	3%
army	132	0x005ae974	static	4	3%
army	132	0x00584ae8	static	5	4%
army	132	0x00584cd4	static	1	1%
army	132	0x005aef04	static	1	1%
army	132	0x005cd2f4	indirect	1	1%
army	132	0x00579458	static	3	2%
army	132	0x005ae8e8	static	1	1%
unit	122	0x005ae958	static	4	3%
unit	122	0x005a7b50	static	3	2%
unit	122	0x005aa12c	static	6	5%
unit	122	0x005ae974	static	6	5%
unit	122	0x00584ae8	static	1	1%
unit	122	0x00584cd4	static	1	1%
unit	122	0x00585408	static	2	2%
unit	122	0x005876d0	static	1	1%
unit	122	0x005a7b78	indirect	8	7%
unit	122	0x005cd2f4	indirect	15	12%
unit	122	0x005ae98c	indirect	2	2%
city	63	0x005ae958	static	12	19%
city	63	0x005aa12c	static	2	3%
city	63	0x005ae974	static	3	5%
city	63	0x00584ae8	static	2	3%
city	63	0x005aef04	static	2	3%
city	63	0x005ae8e8	static	6	10%
city	63	0x005ae98c	indirect	2	3%
player	100	0x005ae958	static	15	15%
player	100	0x005a7b50	static	8	8%
player	100	0x005aa12c	static	3	3%
player	100	0x005ae974	static	9	9%
player	100	0x00584ae8	static	2	2%
player	100	0x00584cd4	static	10	10%
player	100	0x005a7b78	indirect	2	2%
player	100	0x005ae98c	indirect	1	1%
building	64	0x005ae958	static	1	2%
building	64	0x005aa12c	static	4	6%
building	64	0x005ae974	static	3	5%
building	64	0x00584cd4	static	1	2%
artifact	62	0x005aa12c	static	1	2%
artifact	62	0x00584cd4	static	1	2%
spell	58	0x005ae958	static	2	3%
spell	58	0x005aa12c	static	1	2%
spell	58	0x005ae974	static	2	3%
spell	58	0x00584ae8	static	2	3%
spell	58	0x00584cd4	static	1	2%
spell	58	0x005aee6c	static	9	16%
map	35	0x005ae958	static	9	26%
map	35	0x005a7b50	static	3	9%
map	35	0x005aa12c	static	7	20%
map	35	0x005ae974	static	1	3%
map	35	0x00584ae8	static	3	9%
map	35	0x005876d0	static	7	20%
map	35	0x005a9e04	static	1	3%
map	35	0x00579458	static	2	6%
map	35	0x005ae8e8	static	1	3%
terrain	63	0x005ae958	static	5	8%
terrain	63	0x005aa12c	static	2	3%
terrain	63	0x005ae974	static	3	5%
terrain	63	0x00584cd4	static	1	2%
terrain	63	0x005cd2f4	indirect	4	6%
combat	88	0x005ae958	static	4	5%
combat	88	0x005aa12c	static	9	10%
combat	88	0x005ae974	static	11	12%
combat	88	0x005876d0	static	1	1%
combat	88	0x00579458	static	1	1%
combat	88	0x005ae98c	indirect	4	5%
faith	28	0x005ae958	static	3	11%
faith	28	0x005aa12c	static	3	11%
faith	28	0x00584ae8	static	1	4%
faith	28	0x005876d0	static	3	11%
faith	28	0x005aef04	static	2	7%
faith	28	0x005d1e84	indirect	2	7%
faith	28	0x005a7b78	indirect	1	4%
faith	28	0x005cd2f4	indirect	1	4%
faith	28	0x005cd358	static	1	4%
region	27	0x005ae958	static	1	4%
region	27	0x005aa12c	static	1	4%
region	27	0x005ae974	static	1	4%
region	27	0x005aef04	static	16	59%
sprite	67	0x005ae958	static	2	3%
sprite	67	0x005aa12c	static	2	3%
sprite	67	0x005ae974	static	10	15%
sprite	67	0x00584cd4	static	1	1%
sprite	67	0x005aef04	static	1	1%
imp	24	0x005a7b50	static	19	79%
imp	24	0x00584ae8	static	2	8%
imp	24	0x005a9e04	static	1	4%
net	29	0x005ae958	static	4	14%
net	29	0x005aa12c	static	3	10%
net	29	0x005d1e84	indirect	7	24%
net	29	0x005a7b78	indirect	1	3%
net	29	0x005cd358	static	3	10%
sound	21	0x005a7b50	static	1	5%
sound	21	0x00585408	static	12	57%
sound	21	0x005cd2f4	indirect	2	10%
save	17	0x005ae958	static	4	24%
save	17	0x005a7b50	static	2	12%
save	17	0x005aa12c	static	4	24%
